,NO,EN
0,TERESA HAR MYE Å GJØRE,Teresa has a lot to do
1,Bianca er journalist i en lokalavis.,Bianca is a journalist in a local newspaper.
2,Hun skal skrive om Solvåg hotell,She's going to write about Solvåg Hotel
3,og har en avtale med Teresa klokka fire.,And has an agreement with Teresa at four.
4,"Bianca kommer til hotellet fem på fire,","Bianca comes to the hotel five in four,"
5,men hun må vente i resepsjonen.,But she has to wait at the reception.
6,"Teresa har mye å gjøre,","Teresa has a lot to do,"
7,og hun kan ikke gå fra jobben.,And she can't leave work.
8,Det er 16. mai og mange gjester på hotellet.,It is May 16 and many guests at the hotel.
9,"Gjestene skal feire 17. mai i byen,","Guests will celebrate May 17 in town,"
10,og de har mange spørsmål.,And they have many questions.
11,Hvordan blir været i morgen?,How is the weather tomorrow?
12,Blir det sol?,Will it be sunny?
13,Blir det regn?,Will it be rain?
14,Hvor går barnetoget?,Where does the children's train go?
15,"Teresa er sliten,","Teresa is tired,"
16,men hun smiler og svarer.,But she smiles and answers.
17,En gjest: Hvor stopper bussen?,One guest: Where does the bus stop?
18,Teresa: Den stopper på den andre siden av gata.,Teresa: It stops on the other side of the street.
19,Gjesten: När går den?,Guest: When is it going?
20,Teresa: Den går hvert kvarter.,Teresa: It goes every quarter.
21,Gjesten: Hvor langt er det til sentrum?,Guest: How far is it to the center?
22,"Teresa: Det er tre kilometer,","Teresa: It's three miles,"
23,men med buss tar det bare sju minutter.,But by bus it only takes seven minutes.
24,Gjesten: Det er bra. Når starter barnetoget i morgen?,Guest: That's good.When does the children's train start tomorrow?
25,Teresa: Det starter klokka ni.,Teresa: It starts at nine.
26,Gjesten: Takk for hjelpen.,Guest: Thanks for the help.
27,Teresa: Bare hyggelig.,Teresa: Just nice.
28,Her er nøkkel til rom nummer 306.,Here is the key to room number 306.
29,Det er i tredje etasje.,It is on the third floor.
30,Heisen er der borte.,The elevator is over there.
31,"Endelig blir det stille,","Finally it gets quiet,"
32,og Teresa kan snakke med Bianca.,And Teresa can talk to Bianca.
33,"Teresa: Hei, Bianca, nå er jeg ferdig på jobben.","Teresa: Hi, Bianca, now I'm done at work."
34,Skal vi dra hjem til meg og snakke sammen?,Should we go home to me and talk together?
35,Bianca: Ja gjerne. Så hyggelig.,Bianca: Yes preferably.So nice.
36,"Bilen min står utenfor, ved siden av apoteket.","My car is outside, next to the pharmacy."
37,"Teresa: Det er fint. Jeg har ikke mat hjemme,","Teresa: That's nice.I don't have food at home,"
38,men vi kan stoppe ved en matbutikk og kjøpe litt mat.,But we can stop at a grocery store and buy some food.
39,Liker du pizza?,Do you like pizza?
40,"Bianca: Ja, selvfølgelig, men jeg trenger ikke mat, Teresa.","Bianca: Yes, of course, but I don't need food, Teresa."
41,"Teresa: Jo, det er hyggelig å spise sammen.","Teresa: Yes, it's nice to eat together."
42,Og jeg er veldig sulten.,And I'm very hungry.
43,PARKERINGSBOT,Parking ticket
44,Bianca og Teresa kjører hjem til Teresa.,Bianca and Teresa drive home to Teresa.
