,NO,EN
0,KARIM forteller,Karim tells
1,"Jeg har ikke fått fast jobb ennå, men jeg har hatt forskjellige jobber etter norskprøven. ","I haven't got a permanent job yet, but I've had different jobs after the Norwegian test."
2,"Jeg har jobbet på et lager, og jeg har vært hjelpemann på varebil. ",I have worked in a warehouse and I have been a helper on a van.
3,"Det var vikariater, så jeg måtte slutte etter en stund. ","There were substitutes, so I had to quit after a while."
4,Men nå kan jeg skrive på CV-en at jeg har arbeidserfaring her i landet. ,But now I can write on the resume that I have work experience in this country.
5,"Jeg har fått gode attester, og jeg tror det blir lettere å få fast jobb nå.","I have received good testimonials, and I think it will be easier to get a permanent job now."
6,"Jeg er utdannet mekaniker, og jeg er flink med motorer og maskiner. ",I am a trained mechanic and I am good at engines and machines.
7,Jeg håper å få jobb på et bilverksted. ,I hope to get a job at a car repair shop.
8,"Jeg har levert CV-en min både til NAV og til noen vikarbyråer, ","I have delivered my resume both to NAV and to some temporary agencies,"
9,og jeg leser annonser alle steder. ,And I read ads everywhere.
10,Jeg har også levert søknader til noen verksteder selv om de ikke hadde ledige stillinger.,I have also submitted applications to some workshops even though they did not have vacancies.
11,Jeg føler meg som en fisker som har kastet ut et stort garn. ,I feel like a fisherman who has thrown out a big yarn.
12,"Snart håper jeg å dra inn en stor, fin fisk.","Soon I hope to pull in a big, nice fish."
13,"Mens jeg søker jobb og venter på svar, har jeg hovedansvaret hjemme. ","As I apply for a job and wait for answers, I have the main responsibility at home."
14,"Jeg henter Dima i barnehagen, og jeg lager middag nesten hver dag. ","I pick up Dima in kindergarten, and I make dinner almost every day."
15,"Samira har fått jobb, og hun kan ta mange ekstravakter når hun vet at jeg kan være hjemme. ","Samira has got a job, and she can take many extra guards when she knows I can be home."
16,"Hos NAV sa de at jeg burde ta et datakurs, og det gjør jeg.","At NAV they said I should take a computer course, and I do."
17,"Bruk av data- maskiner er viktig i nesten alle jobber, også på bilverksteder.","The use of data machines is important in almost all jobs, including car repair shops."
18,Senere kan jeg kanskje prøve å få mitt eget verksted. ,"Later, maybe I can try to get my own workshop."
19,"Det er ikke lett å starte for seg selv, men det er drømmen min.","It's not easy to start for yourself, but that's my dream."
20,NAV er en offentlig tjeneste for arbeid og velferd. ,NAV is a public service for work and welfare.
21,Det er NAV-kontoreri alle kommuner. ,There are NAV offices all municipalities.
22,"NAV-kontorene arbeider blant annet for at flere skal få arbeid, slik at de kan klare seg selv.","Among other things, the NAV offices are working to get more work, so they can manage themselves."
23,"Når du søker jobb, kan du registrere deg som arbeidssøker hos NAV. ","When applying for a job, you can register as a job seeker at NAV."
24,"Der har de oversikt over ledige jobber, og de kan også tilby nyttige kurs og arbeidspraksis. ","There they have an overview of available jobs, and they can also offer useful courses and work practices."
25,Du kan gå til NAV-kontoret på hjemstedet ditt. ,You can go to the NAV office at your home.
26,"Du kan også lese mer om NAV på nettsidene deres, nav.no.","You can also read more about NAV on their website, nav.no."
27,SAMIRA forteller,Samira tells
28,Jeg er ferdig med norskkurset og har tatt norskprøven. ,I have finished the Norwegian course and have taken the Norwegian test.
29,Heldig- vis klarte jeg B2-nivå. ,"Fortunately, I managed the B2 level."
30,Det er nødvendig for en sykepleier.,It is necessary for a nurse.
31,Nå venter jeg på å få autorisasjon. ,Now I'm waiting for authorization.
32,Jeg synes det tar lang tid. ,I think it takes a long time.
33,"Men jeg er heldig, for jeg kan jobbe som pleieassistent mens jeg venter på autorisasjon som sykepleier. ","But I'm lucky, because I can work as a nursing assistant while waiting for authorization as a nurse."
34,Nå har jeg jobb på et sykehjem.,Now I have a job in a nursing home.
35,På jobben steller og aktiviserer jeg gamle mennesker som ikke kan bo hjemme. ,"At work, I take care of old people who can't live at home."
36,"Noen ganger er det travelt, men det er viktig å ha tid til å prate med dem som bor her. ","Sometimes it's busy, but it's important to have time to talk to those who live here."
37,Noen har lyst til å fortelle om livet sitt. Andre trenger bare en hånd å holdei i.,Some want to tell about their lives.Others just need a hand to hold.
38,Jeg elsker jobben min. Jeg føler at jeg gjør en viktig jobb. ,I love my job.I feel like I'm doing an important job.
39,Jeg kan gjøre hverdagen bedre for dem som bor på sykehjemmet. ,I can make everyday life better for those who live in the nursing home.
40,En gammel mann kaller meg for «engelen sin». ,"An old man calls me his ""angel""."
41,Han sier at han alltid gleder seg til jeg kommer på jobb. Det er koselig å høre.,He says he always looks forward to getting to work.It's nice to hear.
42,Noen blir irritert på meg hvis jeg ikke snakker helt riktig eller ikke forstår hva de sier. ,Someone gets annoyed at me if I don't talk right or don't understand what they say.
43,Men det skjer heldigvis ikke så ofte. ,But fortunately it does not happen very often.
44,Noen synes det er morsomt å hjelpe meg med språket. ,Some people find it fun to help me with the language.
45,Jeg lærer også mye av sykepleierne og de andre som jobber på sykehjemmet.,I also learn a lot from the nurses and the others who work in the nursing home.
46,"Jeg er veldig fornøyd med livet nå, og jeg ser lyst på framtida. ","I am very happy with life now, and I look forward to the future."
47,"Heldigvis går det bra med barna, og jeg er sikker på at Karim snart får seg en jobb","Fortunately, the kids are doing well and I'm sure Karim soon gets a job"
48,"Sykepleiere som har utdanning fra utlandet,må søke autorisasjon fra Helsedirektoratet",Nurses who have education from abroad must apply for authorization from the Directorate of Health
49,ÅSE forteller,Åse tells
50,Bianca er på Solvåg hotell og treffer Åse.,Bianca is at Solvåg Hotel and hits Åse.
51,"Hei, Åse. Du har fått ny jobb, skjønner jeg? Ja, nå er jeg husøkonom. ","Hi, Åse.You've got a new job, I see?Yes, now I'm a housekeeper."
52,"Jeg begynte å bli sliten i ryggen og skuldrene av å være renholder,og heldigvis ble stillingen som husøkonom ledig. ","I started to get tired in the back and shoulders of being a cleaner, and fortunately the position of a house economist became vacant."
53,Hva gjør en husøkonom her på hotellet?,What does a house economist do here at the hotel?
54,Jeg har ansvar for renholdet og for alt utstyret til rommene. ,I am responsible for the cleaning and for all the equipment for the rooms.
55,Jeg bestiller vaskemidler og sengetøy og håndklær. ,I order detergents and bedding and towels.
56,Jeg må også føre regnskap over det jeg kjøper inn. ,I also have to keep accounts of what I buy.
57,"Når vi får nye renholdere, har jeg ansvar for å lære dem opp.","When we get new cleaners, I am responsible for teaching them."
58,Hvordan blir man husøkonom?,How do you become a housekeeper?
59,Det er en stor fordel å ha erfaring som renholder. ,It is a great advantage to have experience as a cleaner.
60,Man bør også vite noe om organisasjon og regnskap. ,One should also know something about organization and accounting.
61,Jeg har tatt utdanning i serviceledelse ved siden av jobben. ,I have taken education in service management alongside the job.
62,Hvilke egenskaper er viktige i jobben? Man må være god til å samarbeide. ,What qualities are important in the job?One must be good at working together.
63,Man skal sørge for at renholderne trives på jobben og gjør en god jobb. ,You should make sure the cleaners thrive at work and do a good job.
64,Man skal også samarbeide med ledelsen og de andre avdelingene på hotellet. ,You will also collaborate with the management and other departments of the hotel.
65,Dessuten må man gjøre avtaler med firmaer som leverer varer og tjenester. ,"In addition, agreements must be made with companies that provide goods and services."
66,I dag har jeg for eksempel gjort avtale med et nytt firma som skal vaske sengetøy og håndklær for oss. ,"Today, for example, I have made an agreement with a new company to wash bedding and towels for us."
67,Er det andre ting som er viktige i jobben?,Are there other things that are important at work?
68,Det er viktig å ha orden og være god til å planlegge slik at vi alltid har det vi trenger. ,It is important to have order and be good at planning so that we always have what we need.
69,"Det er ikke så bra hvis vi plutselig ikke har mer toalettpapir på lager, for eksempel.","It is not so good if we suddenly have no more toilet paper in stock, for example."
70,Det skjønner jeg! Lykke til i ny jobb. Og takk for praten!,I understand that!Good luck in a new job.And thanks for the talk!
71,NIKOS forteller,Nikos tells
72,I sentrum får Bianca øye på Nikos og hilser på ham.,"In the center, Bianca looks at Nikos and greets him."
73,"Hei, Nikos! Hvordan går det med deg? Hei! Takk, det går bra. Og med deg?","Hi, Nikos!How are you?Hello!Thanks, I'm fine.And with you?"
74,"Jeg har det fint, takk. Studerer du fremdeles økonomi?",I am fine thank you.Do you still study finances?
75,"Nei,jegerferdig.Jeg har tatt eksamen, og det gikk ganske bra. ","No, hunting. I have taken the exam, and it went pretty well."
76,Nå studerer jeg ledelse på nettet ved siden av jobben.,Now I study management online next to the job.
77,Har du fått ny jobb? ,Have you got a new job?
78,"Nei. Jeg har søkt på noen jobber som økonom, og jeg har vært på ett intervju. ","No.I have applied for some jobs as an economist, and I have been at one interview."
79,Men jeg fikk ikke jobben. Nå prøver jeg å bli bedre i norsk. ,But I didn't get the job.Now I try to get better in Norwegian.
80,Da er jeg sikker på at jeg får jobb.,Then I'm sure I get a job.
81,Hva gjør du nå da? Jeg jobber fremdeles på Solvåg hotell som servitør. ,What are you doing now?I still work at Solvåg Hotel as a waiter.
82,"Jeg liker meg godt der, og nå har jeg full jobb. ","I like it, and now I have a full -time job."
83,Kanskje blir det en ledig stilling som økonom på hotellet snart?,Maybe it will be a vacancy as an economist at the hotel soon?
84,Det ville være supert. Jeg håper det.,It would be great.I hope so.
85,"Har du tenkt å bli her i landet? Ja, jeg har tenkt det. ","Are you planning to stay in this country?Yes, I've been thinking about it."
86,"Selv om jeg lengter hjem noen ganger, har jeg lyst til å bli her. ","Even though I long for home, I want to stay here."
87,Jeg har begynt å drømme om å få kone og to pene barn. ,I have begun to dream of having wife and two pretty children.
88,Og en katt! Da ønsker jeg deg lykke til med planene dine.,And a cat!Then I wish you the best of luck with your plans.
89,HVORDAN FINNER DU JOBB?,How do you find a job?
90,"Når du leter etter jobb, kan du kontakte NAV. ","When looking for work, you can contact NAV."
91,Der kan du få hjelp til å søke jobb og til å bli bedre kvalifisert. ,There you can get help to apply for a job and to be better qualified.
92,NAV har kurs som kan være aktuelle for deg.,NAV has courses that may be relevant to you.
93,Både på nettet og i avisene kan du finne annonser for ledige jobber. ,Both online and in the newspapers you can find ads for vacant jobs.
94,"Hvis du finner en jobb som passer, må du sende inn søknad med CV.","If you find a job that fits, you must submit an application with CV."
95,I søknaden forteller du kort om deg selv. ,In the application you briefly tell yourself.
96,Du forteller hvor- for du er riktig person til denne jobben. ,You tell you where for you are the right person for this job.
97,Søknaden skal være kort og oversiktlig - ikke mer enn en side. ,The application should be short and clear - no more than one page.
98,"Du bør skrive en ny søknad for hver jobb du søker,og legge vekt på det som er relevant for akkurat denne jobben. ",You should write a new application for each job you are applying for and emphasize what is relevant to this particular job.
99,Å sende elektronisk søknad og CV er ganske vanlig.,Sending electronic application and CV is quite common.
100,Opplysninger om utdanning og erfaringer skal stå i CV-en. ,Information on education and experiences should be in the CV.
101,"CV-en skal fortelle hva slags utdanning du har, og hva du har gjort. ",The CV should tell what kind of education you have and what you have done.
102,Du kan også sende CV-en din til vikarbyråer og til bedrifter du er interessert i.,You can also send your CV to temporary agencies and to companies you are interested in.
103,"Mange får jobb gjennom folk de kjenner, så det er viktig å fortelle folk at du leter etter jobb.","Many people get a job through people they know, so it is important to tell people that you are looking for work."
104,"Når du søker jobb, skal du sende","When you are applying for a job, you should send"
105,Søknad,Application
106,"CVsom forteller om utdanning, erfaring og interesser.","Cvsom talks about education, experience and interests."
107,Vedlegg som arbeidsgiveren ønsker (for eksempel kopi av eksamenspapirer og attester),Appendix that the employer wants (such as a copy of exam papers and certificates)
108,LØNN OG SKATT,Salary and tax
109,Manfår vanligvis lønn én gang i måneden. ,Man usually wages once a month.
110,Arbeidsgiveren setter lønna inn på kontoen din i banken. ,The employer puts the salary into your account in the bank.
111,Du får ikke hele lønna. Arbeidsgiveren må trekke fra skatt. ,You don't get the whole salary.The employer must deduct tax.
112,"Hvis du har veldig lav inntekt, kan du få frikort fra Skatteetaten. ","If you have very low income, you can get a free card from the Tax Administration."
113,Da skal du ikke betale skatt.,Then you should not pay taxes.
114,HELTID ELLER DELTID,Full -time or part -time
115,"Normal arbeidstid i full jobb er 37,5 timeri uka. ",Normal working hours in full -time work is 37.5 hours a week.
116,"Hvis man jobber mer enn 40 timer, er det overtid. ","If you work more than 40 hours, it's overtime."
117,Da får man mer lønn. ,Then you get more wages.
118,"Hvis man jobber mindre enn 37,5 timer, er det deltid.","If you work less than 37.5 hours, it's part -time."
119,VIKARIAT,Substitute
120,Et vikariat er en jobb som varer en bestemt tid. ,A substitute is a job that lasts a specific time.
121,Ofte jobber man som vikar for en som er borte fra jobben i korteller lang tid. ,Often you work as a substitute for someone who is away from work for a long time.
122,Det finnes også andre midlertidige jobber der man får jobben for en bestemt tid.,There are also other temporary jobs where you get the job for a specific time.
123,ARBEIDSAVTALE,Employment agreement
124,"Alle som jobber, skal ha en skriftlig arbeidsavtale med arbeidsgiveren. ",Everyone who works must have a written employment contract with the employer.
125,Det gjelder både i fast jobb og i midlertidige jobber. ,This applies both in a permanent job and in temporary jobs.
126,"I arbeidsavtalen skal det stå informasjon om arbeidstid og lønn, hva slags arbeid det dreier seg om, når lønna blir utbetalt, osv.","The employment contract must provide information on working hours and wages, what kind of work it is about, when the salary is paid, etc."
127,ARBEIDSPRAKSIS ,Work practice
128,"Arbeidspraksis er en ordning der du i samarbeid med NAV prøver å finne en jobb som du kan klare, og som du trives med.","Work practice is a scheme where you, in collaboration with NAV, try to find a job that you can do and that you enjoy."
129,Jeg vil gjerne starte for meg selv. Jeg vil gjerne få mitt eget verksted.,I would like to start for myself.I would like to get my own workshop.
130,De klarer seg selv. Jeg ser lyst på livet.,They manage themselves.I look forward to life.
131,Det tar lang tid å lære et språk. Jeg har ikke tid til å snakke med alle.,It takes a long time to learn a language.I don't have time to talk to everyone.
132,Han lengter hjem noen ganger. Jeg gir ikke opp.,He longs home sometimes.I am not giving up.
133,Jeg har meldt meg inn i et sangkor. Han studerer ved siden av jobben.,I have joined a choir.He is studying next to the job.
134,"Han hadde et vikariat, og etter en stund måtte han slutte.","He had a substitute, and after a while he had to quit."
135,Han sa at han gjerne ville ha en jobb. Han håpet at han skulle få jobben.,He said he wanted a job.He hoped he would get the job.
136,Han kunne ikke norsk da de kom hit. De sa at han burde ta førerkort. ,He couldn't Norwegian when they came here.They said he should take a driver's license.
137,DU MÅ VÆRE TÅLMODIG OG BYGGE STEIN PÅ STEIN,You must be patient and build stone on stone
138,"«Mamma, jeg er sulten!»","""Mom, I'm hungry!"""
139,Lille Selda på fem år kommer løpende inn på kjøkkenet. ,Little Selda in five years comes running into the kitchen.
140,Hun smiler til mora si. Fadia Hassan (36) smiler tilbake. ,She smiles at her mother.Fadia Hassan (36) smiles back.
141,Hun kom til Norge som kvoteflyktning sammen med mannen sin og tre små barn.,She came to Norway as a quota refugee with her husband and three young children.
142,Vi måtte flykte fra Irak på grunn av den forferdelige situasjonen der. ,We had to flee Iraq because of the terrible situation there.
143,"Sønnen vår på åtte år ble skadet i krigen, og vi flyktet til Tyrkia for å få medisinsk hjelp. ","Our eight -year -old son was injured in the war, and we fled to Turkey for medical help."
144,Der ble vi i tre år før vi kom til Norge som kvoteflyktninger.,There we stayed there for three years before we came to Norway as quota refugees.
145,Hvordan har livet vært i Norge?,How has life been in Norway?
146,"Det var vanskelig å komme til et nytt land, med nytt språk og en annen kultur. ","It was difficult to get to a new country, with new language and another culture."
147,"Jeg og mannen min kjente ingen her, og vi kunne ikke et ord norsk. ","My husband and I knew no one here, and we couldn't do a word Norwegian."
148,I dag går det mye bedre. Barna har fått plass i barnehagen og på skolen. ,Today things are going much better.The children have been placed in kindergarten and at school.
149,"Vi er trygge, og vi har fått en ny start. ",We are safe and we have got a fresh start.
150,Hva gjør du nå?,What are you doing now?
151,Gjennom NAV har jeg nå arbeidspraksis i en lampebutikk. ,Through NAV I now have work practice in a lamp shop.
152,"Jeg har vært heldig, og jeg håper at jeg senere skal få fast jobb i butikken.",I have been lucky and I hope that I will later get a permanent job in the store.
153,Både butikksjefen og de andre ansatte har vært veldig hjelpsomme. ,Both the store manager and the other employees have been very helpful.
154,Jeg prøver å gjøre en god jobb. ,I try to do a good job.
155,"Hvis jeg ikke gjør jobben min, blir det mer å gjøre for de andre i butikken.","If I don't do my job, there will be more to do for the others in the store."
156,Har du noen gode råd til andre som vil ut ijobb?,Do you have any good advice for others who want to go out?
157,"Du må være nysgjerrig, men samtidig tålmodig og bygge stein på stein.","You must be curious, but at the same time patient and build stone on stone."
158,Bygge stein på stein?,Build stone on stone?
159,Hva mener du med det?,What do you mean?
160,"Det tar tid å lære seg et nytt språk, men det er samtidig nøkkelen til et bedre liv. ","It takes time to learn a new language, but it is also the key to a better life."
161,"Jeg har gått på norskkurs, og jeg har prøvd å lære meg språket på mange ulike måter. ","I have attended Norwegian courses, and I have tried to learn the language in many different ways."
162,Du er nødt til å pugge ord. ,You have to crawl words.
163,"Skriv dem ned, på mobilen, på kjøleskapsdøra - ja, overalt! ","Write them down, on the mobile, on the fridge door - yes, everywhere!"
164,Dessuten er jeg nysgjerrig og liker å snakke med folk. ,"Besides, I'm curious and like to talk to people."
165,Jeg snakker selvfølgelig med folk i butikken. ,"Of course, I talk to people in the store."
166,Men jeg prøver også å snakke med foreldre og ansatte i barnehagen og med naboene.,But I also try to talk to parents and staff in the kindergarten and with the neighbors.
167,"Du prøver, sier du?","You try, you say?"
168,"Ja, det er ikke alltid så lett, for nordmenn er litt reserverte. ","Yes, it's not always that easy, because Norwegians are a little reserved."
169,Men jeg gir ikke opp. Nå har jeg meldt meg inn i et sangkor. ,But I don't give up.Now I have joined a choir.
170,Der treffer jeg andre mennesker og snakker og synger norsk. ,There I meet other people and talk and sing Norwegian.
171,Det er morsomt. Savner du Irak? Selvfølgelig. ,It is funny.Do you miss Iraq?Of course.
172,"Jeg savner familien, vennene, lufta, varmen, og jeg drømmer omåreise tilbake en dag. ","I miss the family, friends, the air, the heat, and I dream of traveling back one day."
173,Vi får se. Situasjonen kan forandre seg.,We'll see.The situation can change.
