,NO,EN
0,DENNE ER KJEMPEFIN!,This one is great!
1,"Øyvind har fri fra jobben, og han og Sara tar bussen til kjøpesenteret.","Øyvind is free from work, and he and Sara take the bus to the mall."
2,Der er det mange klesbutikker.,There are many clothing stores.
3,Sara har bursdag snart og ønsker seg nye klær i bursdagsgave.,Sara has a birthday soon and wants new clothes in a birthday present.
4,"De går forbi matbutikken, og Sara ser mora.","They walk past the grocery store, and Sara sees her mother."
5,Hun sitter i kassa.,She sits in the cash register.
6,Sara peker.Der er mamma.,Sara points.
7,Øyvind: Hvor da?,Øyvind: Where then?
8,Sara: I kassa. Skal vi hilse på henne?,Sara: In checkout.Should we greet her?
9,Øyvind: Ikke nå. Hun har det travelt.,Øyvind: Not now.She is in a hurry.
10,Det er lang kø i kassa.,There is a long queue in the cash register.
11,Vi går i klesbutikken først.,We go to the clothing store first.
12,"Øyvind: Ok, Sara. Hva slags klær trenger du?","Øyvind: Okay, Sara.What kind of clothes do you need?"
13,"Sara: Jeg har lyst på en ny bukse. Se her, pappa.","Sara: I fancy a new pants.Look here, Dad."
14,Denne buksa er tøff.,This pants are tough.
15,Øyvind: Men det er hull i den.,Øyvind: But there are holes in it.
16,Sara: Det skal være hull i den.,Sara: There should be holes in it.
17,Elise i klassen har ei sånn bukse. Kan jeg prøve den?,Elise in the class has such a trouser.Can i try it?
18,Øyvind: Kan du ikke prøve den der borte? Den har ikke hull.,Øyvind: Can't you try it over there?It has no holes.
19,"Sara: Vær så snill, pappa. Denne er kjempefin!","Sara: Please, dad.This one is great!"
20,ET GODT TILBUD?,A GOOD DEAL?
21,"Øyvind kjøper buksa med hull til Sara,","Øyvind buys his pants with holes for Sara,"
22,og hun er glad og fornøyd.,And she is happy and happy.
23,"De går forbi en butikk med herreklær,","They walk past a store with men's clothing,"
24,og Sara ser på klærne i vinduet.,And Sara looks at her clothes in the window.
25,"Sara: Pappa, en lilla genser. Den er fin til deg!","Sara: Dad, a purple sweater.It's nice to you!"
26,Øyvind: En lilla genser til meg? Nei takk.,Øyvind: A purple sweater for me?No thanks.
