,NO,EN
0,KARIM GÅR PÅ NORSKKURS  ,Karim goes on Norwegian course
1,Bianca snakker med Karim.,Bianca talks to Karim.
2,Hei Karim! ,Hi Karim!
3,Hei Bianca! ,Hi Bianca!
4,Hvordan går det?,How are you?
5,"Ganske bra, takk.","Pretty good, thanks."
6,Hva gjør du nå?,What are you doing now?
7,Jeg går på norskkurs.,I attend a Norwegian language course.
8,Når er du på norskkurs?,When are you on a Norwegian course?
9,"Tirsdag, onsdag og fredag.  ","Tuesday, Wednesday and Friday."
10,Hva gjør dere i klassen? ,What do you do in class?
11,Vi lærer norsk. Vi snakker og skriver norsk. ,We learn Norwegian.We talk and write Norwegian.
12,Hvordan går det? ,How are you?
13,Sånn passe. ,So so.
14,Er det vanskelig? ,It is difficult?
15,"Ja, litt. Jeg forstår ikke alt, og jeg blir sliten.",Yes a little.I don't understand everything and I'm getting tired.
16,Lykke til!  Takk for det. ,Good luck!Thanks for that.
17,Hyggelig å snakke med deg. ,Nice talking to you.
18,I like måte. Ha det bra. ,Likewise.Good bye.
19,Ha det.,Good bye.
20,SAMIRA GÅR PÅ NORSKKURS,Samira goes on Norwegian course
21,"Bianca: Hei, Samira. Hvordan går det?","Bianca: Hi, Samira.How are you?"
22,"Samira: Det går fint, takk. Hvordan går det med deg?","Samira: It's fine, thank you.How are you?"
23,Bianca: Det går bra. Hva gjør du nå?,Bianca: It's going well.What are you doing now?
24,Samira: Jeg går på norskkurs.,Samira: I go on a Norwegian course.
25,Bianca: Hvordan går det?,Bianca: How are you?
26,Samira: Veldig fint. Jeg lærer mye. Vi snakker norsk i klassen.,Samira: Very nice.I learn a lot.We talk Norwegian in class.
27,Bianca: Forstår du alt?,Bianca: Do you understand everything?
28,"Samira: Nei, ikke alt. Men jeg spør mye, og jeg lærer litt hver dag.","Samira: No, not everything.But I ask a lot, and I learn a little every day."
29,Bianca: Men du snakker bra norsk nå.,Bianca: But you speak good Norwegian now.
30,Samira: Tusen takk.,Samira: Thank you very much.
31,Bianca snakker med Karim og Samira. De kommer fra Syria.,Bianca talks to Karim and Samira.They come from Syria.
32,Nå går de på norskkurs. Karim og Samira er gift.,Now they attend Norwegian courses.Karim and Samira are married.
33,ETTER FROKOST,AFTER BREAKFAST
34,Øyvind og Nikos jobber på Solvåg hotell. ,Øyvind and Nikos work at Solvåg Hotel.
