,NO,EN
0,BOLIG OG ØKONOMI,Housing and economy
1,De fleste har en boligdrøm.,Most have a home dream.
2,"Noen ønsker seg et rolig liv på landet, mens andre foretrekker bylivet.","Some want a quiet life in the countryside, while others prefer urban life."
3,"Noen har lyst på en ny og moderne leilighet, mens andre trives best i et gammelt hus med hage.","Some want a new and modern apartment, while others thrive best in an old house with a garden."
4,Hvordan ønsker du å bo?,How do you want to stay?
5,Kjøpe eller leie? Å gå på visning,Buy or rent?To go to view
6,VI HAR IKKE RÅD,WE CAN NOT AFFORD IT
7,Tove og Lasse sitter ved kjøkkenbordet. ,Tove and Lasse sit at the kitchen table.
8,"Tove leser ei bok, men Lasse har tydeligvis noe han vil diskutere.","Tove reads a book, but Lasse obviously has something he wants to discuss."
9,"Du Tove, nå synes jeg vi bør bytte ut bensinbilen vår og kjøpe en el-bil.","You Tove, now I think we should replace our petrol car and buy an electric car."
10,"En el-bil? Nei, det har vi ikke råd til.","An electric car?No, we can't afford that."
11,"Jo da, det er bare et spørsmål om å planlegge litt bedre. ","Well, it's just a matter of planning a little better."
12,"Nå er bilen på verksted igjen, og det er tredje gang i år. ","Now the car is in the workshop again, and it is the third time this year."
13,"Dessuten bor vi tenke på miljøet. Planlegge, sier du? ","We also live in the environment.Plan, you say?"
14,Vi har jo snakket om å flytte og kjøpe noe større. Det er ganske trangt her når Amalie bor hos oss.,We have talked about moving and buying something bigger.It's pretty tight here when Amalie lives with us.
15,"Jeg vet det, men hvis vi sparer litt ekstra, kan vi kanskje gjøre begge deler.","I know, but if we save a little extra, maybe we can do both."
16,Men hvor skal vi spare? På matbudsjettet?,But where should we save?On the food budget?
17,Da må vi spise fiskeboller hver dag. Jeg har en bedre idé.,Then we have to eat fish balls every day.I have a better idea.
18,Hva da? Kanskje vi ikke trenger bil? ,What?Maybe we don't need a car?
19,Det er bare ti minutter til nærmeste bussholdeplass.,It is only ten minutes to the nearest bus stop.
20,Å reise kollektivt er veldig miljøvennlig. ,Traveling collectively is very environmentally friendly.
21,"Hva? Nei, det går ikke. Uten bil vil jeg bruke over en time til jobben.",What?No that does not work.Without a car I will spend over an hour for the job.
