,NO,EN
0,arbeidsliv,working
1,Det er viktig for samfunnet at flest mulig er i arbeid.,It is important for society that as many people as possible are at work.
2,For arbeidstakerne er det viktig med trygge arbeidsplasser og et godt arbeidsmiljø. ,"For employees, it is important to have safe jobs and a good working environment."
3,En trygg jobb gir økonomisk sikkerhet og muligheter til å bruke sine evner. ,A safe job provides financial security and opportunities to use their abilities.
4,I et godt arbeidsmiljø kan man utvikle seg og oppleve fellesskap med andre.,In a good working environment you can develop and experience fellowship with others.
5,VERNEOMBUD,Safety representative
6,Tove skal ha fødselspermisjon om en uke. ,Tove will have maternity leave in a week.
7,"Hun er verneombud på jobben, og hun jobber fremdeles fulltid.","She is a safety representative at work, and she still works full time."
8,Derfor er hun ganske sliten når hun kommer hjem fra jobben.,That's why she's pretty tired when she comes home from work.
9,Kom og sett deg her.,Come and sit here.
10,Du kan legge beina på denne stolen.,You can put your legs on this chair.
11,Middagen er ferdig om en halv time.,Dinner is done in half an hour.
12,Vil du ha en kopp te?,Would you like a cup of tea?
13,"Ja takk, gjerne. Å, så deilig å sette seg ned.","Yes please.Oh, so nice to sit down."
14,Det har vært en slitsom dag.,It has been a tiring day.
15,Har det skjedd noe spesielt?,Has something special happened?
16,Bare masse møter hele dagen.,Just lots of meetings all day.
17,"Vi har noen ansatte med funksjonshemninger, og jeg har jobbet mye med å få på plass gode arbeidsforhold for dem. ","We have some employees with disabilities, and I have worked a lot to get good working conditions for them."
18,Men det dukker stadig opp problemer.,But problems are constantly emerging.
19,Hva slags problemer da?,What kind of problems then?
20,"Vi flytter til nye lokaler snart, og der er det foreløpig ikke mulig å komme til kantina i rullestol.","We are moving to new premises soon, and it is not yet possible to get to the canteen in a wheelchair."
21,Nå har jeg mast på ledelsen for å få installert en rullestolheis.,Now I have mast on the management to have a wheelchair lift installed.
22,Men hvorfor er det ditt ansvar?,But why is it your responsibility?
23,Du skal jo ha permisjon.,You should have leave.
24,Har dere ikke valgt nytt verneombud?,Have you not chosen a new safety representative?
25,"Jo, vi har det. Men han ville ha ferie først og kan ikke begynne før i neste uke.","Yes, we have it.But he wanted a holiday first and can't start until next week."
26,Derfor må jeg fortsette litt til.,That's why I have to continue a bit.
27,"Mannfolk! Du er altfor snill, Tove.","Men!You are too kind, Tove."
28,"Jeg synes du skal tenke på deg selv nå, og ta det litt roligere på jobben.","I think you should think of yourself now, and take it a little quieter at work."
29,"Det er ikke så lett, og likestilling på jobben er noe jeg virkelig er opptatt av.","It's not that easy, and gender equality at work is something I'm really concerned about."
30,Middagen er snart ferdig.,Dinner is done soon.
31,"Vel, her hjemme må du iallfall ta det med ro.","Well, here at home you have to take it easy."
32,"Det er fiskegrateng, og så blir det jordbær og is til dessert.","There is fish gratin, and then there will be strawberries and ice for dessert."
33,Bare si fra hvis det er noe mer du har lyst på mens du venter.,Just tell if there is anything more you fancy while you wait.
34,Takk! Da starter jeg gjerne med desserten.,Thanks!Then I like to start with the dessert.
35,VERNEOMBUD OG ARBEIDSMILJØLOVEN,Safety representative and the Working Environment Act
36,Alle arbeidsplasser skal som hovedregel ha et Arbeidsmiljøloven gjelder for alle arbeidsverneombud.,"As a general rule, all workplaces must have a working environment law applies to all work service representatives."
37,Verneombudet skal velges blant arbeidstakerne og passe på at arbeidsmiljøloven følges. ,The safety representative must be elected among the employees and ensure that the Working Environment Act is followed.
38,Verneombudet er opptatt av fysisk og psykisk arbeidsmiljø og samarbeider med ledelsen om å få en trygg arbeidsplass og å unngå skader på jobben.,The safety representative is concerned with the physical and mental work environment and collaborates with the management to get a safe workplace and to avoid injury to the job.
39,Arbeidsmiljøloven gjelder for alle arbeidsgivere og arbeidstakere i Norge. ,The Working Environment Act applies to all employers and employees in Norway.
40,Den skal følges på alle arbeidsplasser. ,It must be followed in all workplaces.
41,"Helse, miljø og sikkerhet (HMS) er viktig i loven. ","Health, environment and safety (HSE) is important in the law."
42,"Noen eksempler på HMS er godt arbeidsmiljø og godt inneklima, røykvarslere og rutiner for evakuering ved brann.","Some examples of HSE are a good working environment and a good indoor climate, smoke detectors and routines for evacuation in the event of fire."
43,NY MEDARBEIDER SØKES,New employee is applied for
44,STILLING LEDIG,Position
45,Dyktig medarbeider søkes,Skilled employee is applied
46,Holdeplassen er en hyggelig kafé og kiosk og en populær møteplass i lokalmiljøet.,The stop is a nice cafe and kiosk and a popular meeting place in the local community.
47,Vi søker en medarbeider som kan jobbe kveld fra kl. 16.00 til 23.00.,We are looking for an employee who can work evening from 2 p.m.16:00 to 23:00.
48,"Arbeidsoppgavene går ut på å betjene kassa, lage kaffe og rydde og vaske etter stengetid. ","The tasks are about serving the cash register, making coffee and cleaning and washing after closing time."
49,God kundeservice og godt humør er viktig.,Good customer service and good mood are important.
50,Vi søker en medarbeider som kan være med på å skape et trivelig miljø både for kunder og medarbeidere. ,We are looking for an employee who can help create a pleasant environment for both customers and employees.
51,"Erfaring fra tilsvarende arbeid er en fordel, men ikke et krav. ","Experience from similar work is an advantage, but not a requirement."
52,Du vil få opplæring.,You will receive training.
53,"Det viktigste er at du er serviceinnstilt og fleksibel, og at du har lyst til å gjøre en god jobb sammen med oss.","The most important thing is that you are service minded and flexible, and that you want to do a good job with us."
54,"Hvis dette er noe for deg, kan du sende en søknad med CV til post@holdeplassen.no så snart som mulig. ","If this is something for you, you can send an application with CV to post@holdrassen.no as soon as possible."
