,NO,EN
0,INFORMASJON OG KOMMUNIKASJON,Information and communication
1,I våre dager oversvømmes vi av informasjon. ,In our day we are flooded with information.
2,Mediene bringer viktige og uviktige nyheter uten stans. ,The media brings important and unimportant news without stopping.
3,"Mange synes at de må være på nettet hele tida, slik at de ikke går glipp av noe.","Many people think they have to be online all the time, so they don't miss anything."
4,Men hva skjer med kommunikasjonen mellom mennesker?,But what happens to the communication between people?
5,Er vi så opptatt av det som skjer på nettet at vi glemmer dem som er rundt oss?,Are we so concerned about what happens online that we forget those around us?
6,KAN VI IKKE SNAKKE SAMMEN?,Can't we talk together?
7,Kan du ikke legge bort mobilen? ,Can't you put away your phone?
8,Så kan vi snakke litt sammen i stedet?,So can we talk a little instead?
9,Vi kan vel prate selv om jeg sjekker meldinger.,We can talk even if I check messages.
10,Jeg blir så lei av at du ser på mobilen hele tida.,I get so tired of looking at your cellphone all the time.
11,Det gjør jeg da ikke!,I don't!
12,I helga la jeg den bort en god stund.,This weekend I put it away for a while.
13,"Da det var fotballkamper, ja. ","Then it was football matches, yes."
14,"Men da vi så film, sjekket du stadig telefonen.","But when we watched movies, you constantly checked the phone."
15,Jeg så det nok.,I saw it enough.
16,Bare av og til. ,Only occasionally.
17,Filmen var jo ganske kjedelig.,The movie was pretty boring.
18,Men hva var det du ville snakke om?,But what was you going to talk about?
19,"Jo, du vet at...","Yes, you know ..."
20,Et øyeblikk! ,A moment!
21,Tarik har sendt en snap av den nye bilen sin.,Tarik has sent a snap of his new car.
22,"Ja vel, men du vet...","Yes, but you know ..."
23,Tenk å kjøre rundt i en sånn en!,Imagine driving around in such a one!
24,"Unnskyld, hva var det du sa? Glem det.","Excuse me, what were you saying?Forget it."
25,Du ville jo prate om noe.,You wanted to talk about something.
26,"Glem det, sier jeg! Jeg tekster deg i stedet.","Forget it, I say!I text you instead."
27,MOBILEN MIN OG JEG,My mobile and I
28,"Telefonen er aldri langt unna, men nå skrur jeg den faktisk av om natta. ","The phone is never far away, but now I actually turn it off at night."
29,Det viktigste for meg er å holde kontakten med vennene mine. ,The most important thing for me is to keep in touch with my friends.
30,"Når vi ikke er sammen, sender vi bilder og gjør avtaler.","When we are not together, we send pictures and make appointments."
31,"Jeg har også mye kontakt med mamma i løpet av dagen, for eksempel om når vi skal spise middag.","I also have a lot of contact with my mom during the day, for example about when we have dinner."
32,Før i tida var det alltid kona som holdt kontakten med begge barna våre og med barnebarna.,"In the past, it was always the wife who kept in touch with both our children and with the grandchildren."
33,"Hun skrev brev og ringte, og etterpå fortalte hun meg hvordan de hadde det.","She wrote a letter and called, and afterwards she told me how they were doing."
34,Nå er det meg som har mest kontakt med dem.,Now it is me who has the most contact with them.
35,"Vi sender både meldinger og bilder til hverandre, og jeg følger med på hva de driver med. ","We send both messages and pictures to each other, and I keep track of what they do."
36,Dessuten snakker vi ofte sammen på FaceTime. ,"Besides, we often talk on FaceTime."
37,Det har jeg mye glede av.,I enjoy that.
38,Jeg er helt avhengig av mobilen for å holde kontakt med folk eller kjøpe ting. ,I am totally dependent on my cellphone to keep in touch with people or buy things.
39,"Jeg kjøper klær, månedskort og kinobilletter. ","I buy clothes, monthly cards and cinema tickets."
40,Nå har jeg nettopp bestilt time hos tannlegen. ,Now I have just booked an hour at the dentist.
41,"Når jeg jobber med oppgaver på skolen, søker jeg etter informasjon som jeg trenger. ","When I work with school assignments, I look for information that I need."
42,"I kveld skal jeg lete etter en jobb som jeg kan ha ved siden av skolen, så jeg skal sjekke ledige stillinger. ","Tonight I'm going to look for a job that I can have next to school, so I will check vacancies."
43,Jeg trenger noen gode råd om å skrive jobbsøknad også.,I need some good advice on writing a job application as well.
44,"Jeg følger med på nyhetene, både fra Norge og fra utlandet. ","I follow the news, both from Norway and from abroad."
45,Dessuten bruker jeg sosiale medier for å holde kontakten med venner og familie i andre land. ,"Also, I use social media to keep in touch with friends and family in other countries."
46,Det er viktig for meg å vite hvordan de har det.,It is important for me to know how they are doing.
47,"Jeg har også lagt inn mange spill på mobilen, så jeg har alltid noe å gjøre når jeg venter på bussen eller ikke er opptatt av andre ting.","I have also put in many games on my cellphone, so I always have something to do when I wait for the bus or not concerned with other things."
48,Jeg holder meg alltid oppdatert på hva som skjer i samfunnet. ,I always keep up to date on what is happening in society.
49,"Før fulgte jeg også med på hva folk skrev om mat og om klær og sminke, men det har jeg kuttet ut.","Before, I also followed what people wrote about food and about clothes and makeup, but I cut it out."
50,Om kvelden legger jeg bort telefonen. ,In the evening I put away the phone.
51,Da vil jeg ha stor skjerm og fine bilder. ,Then I will have a big screen and nice pictures.
52,"Når jeg følger med på en spennende film eller tv-serie, vil jeg ikke bli forstyrret av telefonen.","As I follow an exciting movie or TV series, I will not be disturbed by the phone."
53,HVA SKAL JEG GJØRE?,WHAT SHOULD I DO?
54,"Amalie er på vei hjem fra skolen. Utenfor huset treffer hun nabogutten, Darian.","Amalie is on her way home from school.Outside the house she meets the neighbor boy, Darian."
55,"Hei, Amalie. Hvordan går det?","Hi, Amalie.How are you?"
56,Å Darian. Jeg vet ikke hva jeg skal gjøre.,Oh Dary.I do not know what to do.
57,Hva er det som har skjedd?,What happened?
58,Er det noe jeg kan hjelpe deg med?,Is there anything I can help you with?
59,Jeg tror ikke det. Det er en gutt som...,I do not think so.There's a boy who ...
60,En som plager deg?,One who bothers you?
61,Det er en som jeg har chattet med i det siste.,There's someone I've chatted with lately.
62,Han virket så grei. Men nå vil han ha et bilde.,He seemed so decent.But now he wants a picture.
63,Å? Hva slags bilde da?Et nakenbilde.,Oh?What kind of picture then? A nude picture.
64,Oi. Det må du ikke sende. Du må bare kutte kontakten. ,Oi.Don't send that.You just have to cut the contact.
65,"Hold deg unna ham, Amalie.Ja, jeg vet det. ","Stay away from him, Amalie.ja, I know."
66,"Men hvis jeg ikke sender et bilde, sier han at han vil legge ut et mye verre bilde av meg.","But if I don't send a picture, he says he wants to post a much worse picture of me."
67,"Har han noe bilde av deg, da? Ja, jeg sendte et vanlig bilde. ","Does he have any picture of you, then?Yes, I sent a regular picture."
68,"Han sier at han kan manipulere det, slik at det ser ut som om jeg er naken.","He says he can manipulate it, so it looks like I'm naked."
69,Jeg er sikker på at det bare er en tom trussel.,I'm sure it's just an empty threat.
70,Han er nok en gammel gubbe som prøver å lure mange andre jenter på samme måte.,He is probably an old man trying to fool many other girls the same way.
71,"Tror du det? Ja, det tror jeg. ",Do you think so?Yes I believe.
72,Han kan faktisk bli straffet for å legge ut bilder av andre. ,He can actually be punished for posting pictures of others.
73,"Det vet han sikkert godt. Stol på meg, Amalie. ","He probably knows that well.Trust me, Amalie."
74,Han kommer ikke til å legge ut noe bilde. Jeg håper du har rett.,He's not going to post any picture.I hope you're right.
75,Og jeg som likte ham så godt. Dømt for å dele bilder,And I liked him so much.Convicted to share photos
76,En 22 år gammel mann ble dømt til fem måneders ubetinget fengsel for å spre nakenbilder av flere jenter på Snapsaved.,A 22 -year -old man was sentenced to five months unconditional prison to spread nude pictures of several girls on Snapsaved.
77,"Det er en viktig dom, sier statsadvokaten. ","It is an important judgment, says the state attorney."
78,"De som utsettes for slike handlinger, blir utsatt for langvarig krenkelse.",Those who are subjected to such actions are subjected to long -term violation.
79,PERSONVERN,Privacy
80,Personvern er retten til å bestemme over egne person-opplysninger. ,Privacy is the right to decide on their own personal information.
81,Vi har rett til et privatliv og rett til å bestemme hva andre skal vite om oss. ,We have the right to a privacy and the right to decide what others should know about us.
82,Det betyr at det ikke er lov å spre opplysninger om andre hvis de ikke har godtatt det.,This means that it is not allowed to disseminate information about others if they have not accepted it.
83,Det gjelder også bilder. ,This also applies to pictures.
84,Vi har ikke lov til å dele bilder av andre mennesker hvis de ikke har sagt at det er ok.,We are not allowed to share photos of other people if they have not said it is ok.
85,Barn har også rett til et privatliv. ,Children are also entitled to a privacy.
86,Verken foreldre eller andre har rett til å vite alt om dem. ,Neither parents nor others have the right to know everything about them.
87,Men foreldre har også plikt til å passe på barna sine. ,But parents are also obliged to look after their children.
88,"Hvis de har grunn til å være bekymret for barna, kan det være lov å sjekke hva barna gjør, for å beskytte dem.","If they have reason to be worried about the children, it may be allowed to check what the children are doing, to protect them."
89,Jeg har oppdaget at foreldrene mine sjekker meldingene på telefonen min. ,I have discovered that my parents are checking the messages on my phone.
90,"Jeg gjør ikke noe galt, men jeg vil ikke at de skal lese hva jeg snakker med venninnene mine om. ","I don't do anything wrong, but I don't want them to read what I'm talking to my girlfriends about."
91,Har de lov til det? ,Are they allowed?
92,Hva kan jeg si til dem for å få dem til å slutte?,What can I tell them to make them quit?
93,Snart tør jeg ikke gå på fest med vennene mine. ,Soon I dare not go to a party with my friends.
94,Dagen etter en fest er det alltid en eller annen som legger ut «morsomme» bilder — med glass og flasker utover hele bordet og folk som ser dumme og fulle ut. ,"The day after a party, there is always someone who posts ""funny"" pictures - with glass and bottles throughout the table and people who look stupid and full."
95,Det ser alltid mye verre ut enn det var. ,It always looks much worse than it was.
96,Vi hadde det jo bare gøy. ,We just had fun.
97,"Men nå skal jeg snart begynne å søke på jobber, og hva vil en arbeidsgiver tro hvis hun eller han ser sånne bilder av meg?","But now I will soon start applying for jobs, and what will an employer believe if she or he sees such pictures of me?"
98,Vi har kjøpt smartklokke til sønnen vår. ,We bought a smart watch for our son.
99,"Klokka har GPS, slik at vi alltid kan finne ut hvor han er. ","The clock has GPS, so we can always find out where he is."
100,Klokka kan også brukes som telefon til noen få kontakter. ,The clock can also be used as a phone for a few contacts.
101,"Vi kan ringe til ham, og han kan ringe til oss. ",We can call him and he can call us.
102,Det er til og med en egen $OS-knapp som han kan bruke hvis han trenger hjelp.,It is even his own $ Os button that he can use if he needs help.
103,Det gir stor trygghet både for ham og for oss.,It provides great security both for him and for us.
104,KILDER OG KILDEKRITIKK,Sources and source criticism
105,"I aviser og store tv-kanaler blir informasjonen vanligvis kontrollert på flere måter, og disse mediene har en redaktør som har ansvar for hva som skrives og sies. ","In newspapers and large TV channels, the information is usually controlled in several ways, and these media have an editor who is responsible for what is written and said."
106,"I tillegg har mediene sitt eget klageorgan, Pressens faglige utvalg (PFU).","In addition, the media has its own appeal body, the Press's Professional Committee (PFU)."
