,NO,EN
0,11948 vedtok FN verdenserklaringen om menneskerettigheter,"In 11948, the UN approved the Verdens Clearing on Human Rights"
1,Ifølge erklaringen har alle mennesker rett til leve et trygt liv i frihet. ,"According to the statement, all people have the right to live a safe life in freedom."
2,"De har rett til å tro på det de vil, uttale seg om hva de vil, og de har rett til å delta i politiske valg.","They have the right to believe in what they want, comment on what they want, and they have the right to participate in political elections."
3,Alle stater skal respektere og forsvare menneskerettighetene.,All states must respect and defend human rights.
4,DEMOKRATI OG MEDBORGERSKAP,Democracy and citizenship
5,Et demokrati er en styreform med frie valg.,A democracy is a form of government with free elections.
6,"Det skal være flere partier og personer å velge mellom, og alle voksne statsborgere skal ha rett til å stemme ved valg.","There should be more parties and persons to choose from, and all adult citizens should have the right to vote in elections."
7,Etter et valg skal et eventuelt skifte av makt skje på en fredelig måte.,"After a choice, a possible change of power should be done in a peaceful way."
8,Aktive medborgere er viktig for at demokratiet skal fungere bra.,Active citizens are important for democracy to work well.
9,Folk må ha mulighet til å delta i åpne diskusjoner og være med på å ta politiske beslutninger,People need to have the opportunity to participate in open discussions and help make political decisions
10,"De bør også være interessert i å bruke mulighetene de har, til å få innflytelse i samfunnet","They should also be interested in using the opportunities they have, to get influence in society"
11,"Hvis det er mange som ikke bruker stemmeretten sin, svekkes demokratiet.","If there are many who do not use their voting rights, democracy is weakened."
12,I Norge er det valg til Stortinget hvert fjerde år.,"In Norway, there is elections for the Storting every four years."
13,Alle norske statsborgere over 18 år har stemmerett.,All Norwegian citizens over the age of 18 have the right to vote.
14,Utenlandske statsborgere kan stemme ved lokale valg hvis de har bodd her i tre år.,Foreign nationals can vote in local elections if they have lived here for three years.
15,I tillegg til å stemme ved valg kan folk påvirke politikken i landet på andre måter,"In addition to voting in elections, people can affect the policy in the country in other ways"
16,Man kan melde seg inn i politiske partier og i andre organisasjoner. ,You can enroll in political parties and other organizations.
17,Man kan skrive innlegg eller kontakte partier o politikere. ,You can write posts or contact parties o politicians.
18,Man kan også lage demonstrasjoner for å vise sin mening om aktuelle saker.,One can also create demonstrations to show their opinion on relevant issues.
19,Et viktig kjennetegn ved demokrati er at domstolen er uavhengig av den politiske makten.,An important characteristic of democracy is that the court is independent of political power.
20,En selvstendig domstol skal sikre at politikerne ikke bryter lover og rettigheter. ,An independent court shall ensure that politicians do not violate laws and rights.
21,"Man kan for eksempel ikke bli straffet for å være i opposisjon til dem som har den politiske makten i samfunnet, og ingen skal settes i fengsel eller straffes på annen måte uten å bli dømt i en domstol.","For example, one cannot be punished for being in opposition to those who have the political power in society, and no one should be put into prison or otherwise punished without being convicted in a court."
22,YTRINGSFRIHET,FREEDOM OF SPEECH
23,Ytringsfrihet er retten til å uttrykke meningene våre.,Freedom of speech is the right to express our opinions.
24,Vi kan skrive og snakke offentlig om det vi er opptatt av.,We can write and talk publicly about what we are concerned about.
25,Vi kan lage demonstrasjoner for å vise hva vi mener.,We can create demonstrations to show what we mean.
26,Ytringsfriheten er en viktig demokratisk rett.,Freedom of speech is an important democratic right.
27,Demokrati og ytringsfrihet er noe vi må ta godt vare på.,Democracy and freedom of speech are something we must take good care of.
28,"Politiske bevegelser og regimer som begrenser demokratiet, skremmer meg.",Political movements and regimes that limit democracy scare me.
29,Vi mennesker må ha rett til å snakke og skrive offentlig om det vi er opptatt av.,We humans must have the right to talk and write publicly about what we are concerned about.
30,Slik blir vi gode medborgere.,This is how we become good citizens.
31,En journalist må kunne uttrykke seg fritt.,A journalist must be able to express himself freely.
32,Fri presse er nødvendig i et demokrati.,Free press is needed in a democracy.
33,Det er vittig å avsløre det hvis noen misbruker makten sin.,It is witty to reveal it if someone abuses their power.
34,"Jeg er uenig i det du sier, men jeg vil inntil døden forsvare din rett til å si det",I disagree with what you say but I will until death defend your right to say that
35,Netthets,Web
36,Emma Hellesby er interessert i politikk. ,Emma Hellesby is interested in politics.
37,Hun er glad i å diskutere og skriver debattinnlegg både i lokalavisen og på nettet. ,She is fond of discussing and writing debate posts both in the local newspaper and online.
38,"Men hver gang hun skriver noe, blir hun møtt med nedsettende kommentarer, trusler og hets.","But every time she writes something, she is met with derogatory comments, threats and heat."
39,"- Jeg har fått ganske mange stygge meldinger, forteller hun. ","- I've received quite a few ugly messages, she says."
40,"- Noen ganger dreier det seg om mine politiske meninger, men ofte er det utseendet mitt og meg som person de skriver om.","- Sometimes these are my political opinions, but often it is my look and me as a person they write about."
41,"I meldingene hun har fått, står det ting som «Ikke bare er du dum. Du er feit og stygg også». ","In the messages she has received, there are things like ""not only are you stupid.You are fat and ugly too ”."
42,«Jeg spyr både av deg og av meningene dine.» ,"""I spew both of you and of your opinions."""
43,«Vær forsiktig når du er ute om kvelden. Du er ikke trygg noe sted.»,"""Be careful when you're out in the evening.You are not safe anywhere. ”"
44,"- De ekleste meldingene vil jeg ikke en gang fortelle om, sier Emma. ","- I don't even want to tell the nicest messages, says Emma."
45,- Dette gjør at jeg ikke vet om jeg vil fortsette å delta i debatter.,- This means that I do not know if I will continue to participate in debates.
46,Man ma være sterk for ikke å bry seg om slike meldinger.,One must be strong not to care about such messages.
47,Det kan være vanskelig å delta i offentlige debatter når man far så mange negative reaksjoner.,It can be difficult to participate in public debates when you find so many negative reactions.
48,"Når politikere velger å trekke seg fra politikken på grunn av trusler og hets fra folk som er uenige med dem, får vi et demokratisk problem. ","When politicians choose to withdraw from politics because of threats and heat from people who disagree with them, we have a democratic problem."
49,Noen bruker altså tringsfriheten til å true eller skremme andre slik at de ikke bruker sin ytringsfrihet.,So some use the freedom of trial to threaten or scare others so that they do not use their freedom of speech.
50,"Noen tror at man kan si og skrive hva man vil på nettet, men slik er det ikke. ","Some people think that you can say and write what you want online, but it is not."
51,"Deter ikke lov a komme med trusler, og det er ikke lov å oppfordre til vold eller kriminelle handlinger. ","It is not allowed to make threats, and it is not allowed to encourage violence or criminal acts."
52,Det er heller ikke lov å komme med diskriminerende og hatefulle ytringer. ,It is also not allowed to come up with discriminatory and hateful statements.
53,Slike ytringer kan straffes med bot eller fengsel.,Such statements can be punished with a fine or imprisonment.
54,Ikke begrens ytringsfriheten,Do not limit freedom of speech
55,"La alle slippe til på nettet, også de som har «feil» meninger. ","Let everyone let go online, including those who have ""wrong"" opinions."
56,Alle har rett til å si det de mener. ,Everyone has the right to say what they mean.
57,Deter demokrati og ytringsfrihet i praksis.,Democracy and freedom of speech in practice.
58,Ytringsfriheten er ikke bare for dem som er enige med deg. ,Freedom of speech is not just for those who agree with you.
59,Vi må tåle litt stygge ord. ,We have to endure some ugly words.
60,Det kan være sunt å lese mange like meninger.,It can be healthy to read many similar opinions.
61,På den måten larer man seg også å bli en kritisk leser og vurdere det man leser.,"In this way, you also come to become a critical reader and evaluate what you read."
62,Hva med litt ytringsansvar?,What about some speech responsibility?
63,Ytringsfriheten er viktig i et demokrati. ,Freedom of speech is important in a democracy.
64,"Vi kan kritisere dem som har makt, og vi kan kjempe for det vi tror på. ","We can criticize those who have power, and we can fight for what we believe in."
65,"Men de som har kjempet for ytringsfriheten rundt om i verden, tenkte nok ikke at vi skulle bruke den til å mobbe folk vi ikke liker.",But those who have fought for freedom of speech around the world probably did not think that we should use it to bully people we do not like.
66,Na er det på tide å vise litt ytringsansvar. ,Now it is time to show some speech responsibility.
67,Slutt å mobbe folk du er enig med. ,Stop bullying people you agree with.
68,Deter mangel på respekt for tringsfriheten. ,There is a lack of respect for the freedom of the swing.
69,Kom med argumentene dine istedet.,Come with your arguments instead.
70,RELIGIONSFRIHET,Religious freedom
71,"Deter trosfrihet i Norge, og alle kan praktisere den religionen de selv vil, eller de kan velge å ikke ha noen religion. ","Det freedom of belief in Norway, and everyone can practice the religion they want, or they can choose not to have any religion."
72,Deter foreldrene som velger religion for barna sine.,Det parents who choose religion for their children.
73,"Men når barna er 15 år, kan de selv velge om de vil melde seg inn i - eller ut av - et trossamfunn.","But when the children are 15 years old, they can choose whether they want to sign up - or out of - a religious community."
74,Alle religionene får stotte av staten. ,All religions receive support from the state.
75,Ogsa organisasjoner med ikke-religiøse livssyn får statlig støtte. ,"Also, organizations with non-religious views receive state support."
76,Den største religionen her i landet er kristendommen. ,The greatest religion in this country is Christianity.
77,Nesten 70 % av innbyggerne er medlemmer i den luthersk-protestantiske norske kirken. ,Nearly 70 % of the inhabitants are members of the Lutheran-Protestant Norwegian Church.
78,Omtrent 3% av de kristne er katolikker og tilhører den katolske kirken. ,About 3% of Christians are Catholics and belong to the Catholic Church.
79,"I tillegg er det mange små, kristne trossamfunn.","In addition, there are many small Christian faiths."
80,De største religionene her i landet etter kristendommen er islam og buddhismen.,The greatest religions in this country after Christianity are Islam and Buddhism.
81,"Seksuell trakassering er forbudt, og en arbeidsgiverhar plikt til å sørge for at slikt ikke skjer pa arbeidsplassen. ","Sexual harassment is prohibited, and an employer has duty to ensure that such does not happen in the workplace."
82,Men de siste arene har vist at en del kvinner opplever uønsket seksuell oppmerksomhet fra mannlige sjefer og andre menn med makt.,But the last years have shown that some women are experiencing unwanted sexual attention from male bosses and other men with power.
83,"I 2017 ba en amerikansk skuespiller andre kvinner som hadde opplevd seksuell trakassering og overgrep, om å stå fram med sine historier. ","In 2017, an American actor asked other women who had experienced sexual harassment and abuse to come up with their stories."
84,Hun oppfordret dem til å bruke emneknaggen #metoo i sosiale medier og fortelle om erfaringene sine. ,She encouraged them to use the topic guy #metoo in social media and tell about her experiences.
85,I løpet av et døgn var det en halv million kvinner som fortalte om sine negative erfaringer med menn med makt. ,"During a day, half a million women told about their negative experiences with men with power."
86,12 millioner kommentarer ble delt på Facebook. ,12 million comments were shared on Facebook.
87,Dette førte til avsloring av seksuelle overgrep i mange miljoer i mange land. ,This led to the refusal of sexual abuse in many environmental in many countries.
88,Etterpa er det satt i gang arbeid i mange organisasjoner og pa mange arbeidsplasser for å få slutt pa trakasseringen og for å gjøre det enklere og tryggere å melde fra om uønsket oppførsel.,"Afterwards, work has been started in many organizations and in many jobs to end the harassment and to make it easier and safer to report unwanted behavior."
89,LIKESTILLING OG LIKEVERD,EQUALITY AND EQUIVALENCE
90,"Med likestilling menes likeverd, like muligheter og like rettigheter, sier norsk lov. ","By equality is meant equality, equal opportunities and equal rights, says Norwegian law."
91,Mange tenker først og fremst på forholdet mellom menn og kvinner når vi snakker om likestilling og likeverd. ,Many people think first and foremost about the relationship between men and women when we talk about equality and equality.
92,Men kravet om likestilling gjelder også for andre grupper. ,But the requirement for equality also applies to other groups.
93,Alle mennesker skal ses på som likeverdige. ,All people should be seen as equal.
94,"Alle skal ha samme mulighet til å utvikle seg og bruke sine evner, uavhengig av kjønn, funksjonsevne, seksuell orientering, religion, politisk orientering, hudfarge, sosial bakgrunn og andre forhold ved en person. ","Everyone should have the same opportunity to develop and use their abilities, regardless of gender, functional ability, sexual orientation, religion, political orientation, skin color, social background and other conditions."
95,Et eget offentlig ombud skal arbeide for likestilling og mot diskriminering.,A separate public representative will work for equality and against discrimination.
96,Birgit Skarstein ble lam etter en ulykke da hun var tjue år.,Birgit Skarstein became paralyzed after an accident when she was twenty years old.
97,Hun er en kjent idrettsutøver.,She is a well -known athlete.
98,Hun har vunnet gullmedalje i Paralympics og fått medaljer i både roing og langrenn i flere verdensmesterskap.,She has won a gold medal in the Paralympics and received medals in both rowing and cross -country skiing in several World Cups.
99,"Da hun skulle være med i dansekonkurransen Skal vi danse? på TV 2, opplevde hun å få mye hets og negative kommentarer på nettet.","When she was to join the dance competition, should we dance?On TV 2, she experienced getting a lot of heat and negative comments online."
100,"- Folk i rullestol har ingenting i en dansekonkurranse å gjøre, mente noen og kom med ubehagelige og nedsettende uttalelser om henne. ","""People in a wheelchair have nothing to do in a dance competition,"" someone said and made unpleasant and derogatory statements about her."
101,Men deltakelsen vakte også mye begeistring og ble en stor suksess.,But participation also aroused a lot of excitement and was a great success.
102,Rasisme og diskriminering,Racism and discrimination
103,"Tidligere ble begrepet rasisme brukt om teorien at menneskene er inndelt i ulike raser, og at noen raser er bedre enn andre. ","Previously, the term racism was used on the theory that humans are divided into different breeds, and that some breeds are better than others."
104,"Nå brukes rasisme om alle typer etnisk diskriminering, som for eksempel diskriminering på","Now racism is used about all types of ethnic discrimination, such as discrimination on"
105,"bakgrunn av nasjonalitet, hudfarge, kultur og religion.","Background of nationality, skin color, culture and religion."
106,Rasisme kan vise seg i kommentarer og holdninger i dagliglivet. ,Racism can appear in comments and attitudes in daily life.
107,Mange har erfart at det kan være vanskeligere å få jobb og finne bolig dersom man har en annen etnisk bakgrunn enn majoriteten. ,Many have learned that it can be more difficult to get a job and find housing if you have a different ethnic background than the majority.
108,Noen opplever også grove rasistiske kommentarer og til og med voldelige angrep.,Some also experience serious racist comments and even violent attacks.
109,Både i møte med politi og på fotballbanen hører vi om mennesker som utsettes for rasisme.,"Both in the face of police and on the football field, we hear about people who are exposed to racism."
110,Felles for de ulike formene for rasisme er at enkeltpersoner reduseres til representanter for en gruppe.,Common to the different forms of racism is that individuals are reduced to representatives of a group.
111,Slik diskriminering er forbudt.,Such discrimination is prohibited.
112,Homofiles rettigheter,Gay rights
113,Homofile er en minoritetsgruppe som har opplevd diskriminering.,Gays are a minority group that has experienced discrimination.
114,Homofilt samliv mellom menn var forbudt i Norge fram til 1972.,Gay cohabitation between men was banned in Norway until 1972.
115,Da ble loven opphevet. ,Then the law was repealed.
116,I 1993 ble det tillatt for homofile å inngå partnerskap. ,"In 1993, gays were allowed to enter into partnerships."
