,NO,EN
0,MAT OG HEPSE,Food and hepse
1,HELSEPRAT I KOLLEKTIVET,Health talk in the collective
2,"Sara bor sammen med Ingeborg, Anne Maren og Line i kollektivet. ","Sara lives with Ingeborg, Anne Maren and Line in the collective."
3,Hun trives og liker at det alltid er noen hun kan prate med og lage mat sammen med. ,She thrives and likes that there is always someone she can talk to and cook with.
4,Det betyr ikke at de alltid er enige. ,It does not mean that they always agree.
5,"Når det gjelder spørsmål om mat og helse, kan meningene være ganske forskjellige. ","When it comes to questions about food and health, opinions can be quite different."
6,"Det er ok, synes Sara, så lenge de ikke blir uvenner.","It's ok, Sara thinks, as long as they don't become friends."
7,"Det er så mange som er opptatt av dietter, men det er ikke jeg. ","There are so many who are concerned about diets, but I am not."
8,Jeg tror på et allsidig kosthold. ,I believe in a versatile diet.
9,Det betyr at jeg prøver å variere. ,That means I try to vary.
10,"Jeg spiser mye grønnsaker, men jeg er også opptatt av å få i meg nok proteiner, så jeg spiser både egg, fisk, kylling og lammekjøtt. ","I eat a lot of vegetables, but I'm also keen to get enough proteins, so I eat eggs, fish, chicken and lamb."
11,"Yndlingsretten min er fesenjan, en iransk kyllinggryte med valnøtter og løk.","My favorite dish is Fesenjan, an Iranian chicken stew with walnuts and onions."
12,"Når det gjelder trening, er jeg ingen fanatiker, men jeg prøver å sitte minst mulig på rumpa. ","When it comes to training, I'm not a fanatic, but I'm trying to sit as little as possible on the butt."
13,"Derfor går jeg i stedet for å ta buss, og jeg er mye ute i naturen. ","That's why I go instead of taking a bus, and I'm a lot out in nature."
14,"Gunnar har fortalt meg om turer i regi av turistforeningen, og de er fine. ","Gunnar has told me about trips under the auspices of the Tourist Association, and they are nice."
15,"Sist helg var han, jeg og flere andre på ei av hyttene til foreningen. ",Last weekend he and several others were at one of the cabins for the association.
16,"Om dagen var vi på fisketur, og om kvelden tente vi bål og grillet fisk. ","During the day we were fishing, and in the evening we lit bonfires and grilled fish."
17,Jeg liker å være sammen med Gunnar. ,I like to be with Gunnar.
18,Han er morsom og har mange ideer. ,He is fun and has many ideas.
19,Jeg håper vi kan ta flere slike turer.,I hope we can take more such trips.
20,Jeg forstår ikke Anne Maren. ,I don't understand Anne Maren.
21,I går ble hun skikkelig sur på meg fordi jeg så at hun burde forandre matvanene sine.,Yesterday she got really mad at me because I saw that she should change her eating habits.
22,"Hun spiser mye, og hun spiser feil, og jeg mente bare å gi henne et godt råd.",She eats a lot and she eats wrong and I just meant to give her good advice.
23,"Mange tror jeg er vegetarianer, men jeg er veganer.","Many people think I am a vegetarian, but I am a vegan."
24,"Det betyr at jeg ikke spiser mat som kommer fra dyr, såkalt animalsk mat. ","That means I don't eat foods that come from animals, so -called animal foods."
25,"Jeg har en dyp respekt for dyr, og jeg vil ikke være med på at de skal lide og dø på grunn av meg.","I have a deep respect for animals, and I do not want to help them suffer and die because of me."
26,"Vi trenger verken kjøtt, melk eller egg for å overleve, for det finnes så mange gode alternativer. ","We do not need meat, milk or eggs to survive, because there are so many good alternatives."
27,"Burgere laget av poteter, gulrøtter og linser er en favoritt.","Burgers made of potatoes, carrots and lenses are a favorite."
28,"Jeg vil helst ikke bruke klær som er laget av dyr, som ullklær og skinnklær. ","I would rather not wear clothes made of animals, such as woolen clothes and leather clothes."
29,"Jeg har to ullgensere, men de er gamle og kjøpt på loppemarked.","I have two wool sweaters, but they are old and bought at the flea market."
30,Jeg er glad i å lage mat og liker meg på kjøkkenet.,I love cooking and enjoying myself in the kitchen.
31,Favorittretten min er biff med bakte poteter. ,My favorite dish is steak with baked potatoes.
32,Ingeborg blir nesten sint når hun ser det. ,Ingeborg gets almost angry when she sees it.
33,I går spurte hun om jeg ikke hadde kjøttskam. ,Yesterday she asked if I had no meat.
34,Kjøttskam? Hvorfor skal vi skamme oss for alt mulig? ,Meat shield?Why should we be ashamed of everything?
35,"Miljøskam, flyskam, kjøttskam — jeg har hørt så mange sånne ord. ","Environmental scenes, flights, meats - I have heard so many such words."
36,"Nei, jeg skammer meg ikke!","No, I'm not ashamed!"
37,"Mennesker har spist kjøtt til alle tider, og i kjøtt er det viktige næringsstoffer som vi trenger.","People have eaten meat at all times, and in meat there are important nutrients that we need."
38,"Jeg spiser stort sett det jeg har lyst på, og jeg spiser mye forskjellig. ","I mostly eat what I want, and I eat a lot different."
39,"Jeg vil kose meg, rett og slett. ","I want to enjoy myself, simply."
40,"Det er altfor mange som har dårlig samvittighet for alt mulig, og det er ikke bra.","There are too many people who have a bad conscience for everything, and it's not good."
41,Det betyr ikke at jeg gir blaffen i helsa mi. ,It does not mean that I give the blab in my health.
42,"Jeg røyker ikke, tar trappa i stedet for heisen og går i svømmehallen hver mandag. ","I do not smoke, take the stairs instead of the elevator and walk in the swimming pool every Monday."
43,"Poenget er at jeg gjør det fordi jeg har lyst, ikke fordi jeg er misfornøyd med meg selv eller ønsker meg en idealkropp. ","The point is that I do it because I want, not because I am dissatisfied with myself or want an ideal body."
44,"Jeg er fornøyd med det livet jeg lever, og det er det viktigste!","I am happy with the life I live, and that is the most important thing!"
45,Det er veldig viktig for meg å trene. ,It is very important for me to exercise.
46,Jeg er opptatt av å holde meg i form og blir stresset hvis jeg ikke får trent nok.,I am keen to keep fit and get stressed if I don't get enough trained enough.
47,Dessuten blir jeg i bedre humør når jeg har trent. ,"Besides, I get in a better mood when I have trained."
48,"Jeg går på treningssenteret hver dag, selv om jeg egentlig ikke har tid til det. ","I go to the fitness center every day, even though I don't really have time for it."
49,En dag uten trening er en dag uten mening.,A day without training is a day without meaning.
50,I går sa Sara at jeg burde slappe av litt. ,"Yesterday, Sara said I should relax a little."
51,"Hun sa at hun var urolig for meg, og at jeg overdriver. ",She said she was worried about me and that I exaggerate.
52,"Kanskje litt, men uten trening blir jeg så slapp og umotivert, og det går ut over studiene mine. ","Maybe a little, but without training I get so limp and unmotivated, and it goes beyond my studies."
53,Dessuten er det viktig for meg å være fornøyd med kroppen min. ,"Besides, it is important for me to be happy with my body."
54,Og det krever litt innsats!,And it requires some effort!
55,"Jentene i kollektivet er flinke til å lage mat, men de kaster altfor mye. ","The girls in the collective are good at cooking, but they throw too much."
56,"De kaster mat som har gått ut på dato, selv om den er like god. ","They throw food that has expired, even though it is just as good."
57,Jeg tror jeg må lære dem at det er forskjell på «siste forbruksdag» og «best før».,"I think I have to teach them that there is a difference between ""Last Consumption Day"" and ""Best Before""."
58,Saras yndlingsrett er en iransk kyllinggryte som heter fesenjan. ,Sara's favorite dish is an Iranian chicken stew called Fesenjan.
59,I dag finner vi mange matretter fra andre land på norske middagsbord.,Today we find many dishes from other countries on Norwegian dinner tables.
60,EG ER FASTLEGE,I am a GP
61,Jeg er fastlege og trives godt i jobben min. ,I am a GP and enjoy my job well.
62,Jeg har lest at mange fastleger er misfornøyde. ,I have read that many GPs are dissatisfied.
63,Mye jobb og lange arbeidsdager gjør at seks av ti fastleger vurderer å slutte.,A lot of work and long working days mean that six out of ten GPs are considering quitting.
64,Jeg har til og med hørt at noen fastleger sover på kontoret.,I have even heard that some GPs are sleeping in the office.
65,"Jeg kjenner meg ikke igjen i dette, og det er jeg glad for.","I do not recognize this, and I am glad."
66,"Selvfølgelig kan det bli noen lange dager, men jeg kan ikke tenke meg en bedre jobb. ","Of course, there may be some long days, but I can't think of a better job."
67,Jeg kommer nær pasientene mine og kan hjelpe dem til å få et bedre liv. ,I get close to my patients and can help them get a better life.
68,"Noen har fysiske sykdommer, mens andre er deprimerte og ensomme.","Some have physical diseases, while others are depressed and lonely."
69,"Det er mange som skammer seg over å ha det vanskelig, og de trenger en å snakke med. Heldigvis ser jeg at det har blitt mer åpenhet om psykisk helse i dag. ","There are many who are ashamed to have a hard time, and they need one to talk to.Fortunately, I see that there has been more openness about mental health today."
70,Mange kjente og ukjente mennesker forteller om sine erfaringer med angst og depresjon. ,Many well -known and unknown people talk about their experiences with anxiety and depression.
71,Det gjør det lettere for andre å be om hjelp.,It makes it easier for others to ask for help.
72,"Pasientene mine har ulike helseproblemer, og noen ganger tar det litt tid å finne den riktige behandlingen. ","My patients have different health problems, and sometimes it takes some time to find the right treatment."
73,Samtidig har jeg pasienter som vet «alt» om helsesituasjonen sin. ,"At the same time, I have patients who know ""everything"" about their health situation."
74,De har sjekket internett og stilt diagnosen før de kommer til meg.,They have checked the internet and made the diagnosis before they come to me.
75,"Hvis jeg er uenig med dem, hender det at de stoler mer på nettet enn på meg. ","If I disagree with them, it happens that they trust more online than on me."
76,"Når de har funnet ut at de har en veldig sjelden og livsfarlig sykdom, blir de nesten skuffet hvis jeg sier at de bare trenger mer fysisk aktivitet og sunnere mat.","Once they have found that they have a very rare and deadly illness, they are almost disappointed if I say they only need more physical activity and healthier foods."
77,Fysisk aktivitet er viktig for å unngå sykdommer som overvekt og diabetes. ,Physical activity is important to avoid diseases such as obesity and diabetes.
78,Diabetes eller sukkersyke er alvorlig og kan øke risikoen for blant annet hjerteinfarkt. ,Diabetes or diabetes is severe and can increase the risk of heart attack.
79,"Slike sykdommer kalles gjerne for livsstilssykdommer, fordi de har sammenheng med måten vi lever på. ","Such diseases are often called lifestyle diseases, because they are related to the way we live."
80,«Hva har fire bein og er menneskets beste venn?» spør jeg pasientene.,"""What does four legs have and is man's best friend?""I ask the patients."
81,"«Hunden,» svarer de. «Feil,» sier jeg, «det er sofaen.» ","""The dog,"" they answer.""Wrong,"" I say, ""it's the couch."""
82,"Jeg ber dem bruke beina, og forteller at en 30 minutters og hvordan kan vi unngå tur hver dag er en god begynnelse. ",I ask them to use my legs and tell that a 30 minute and how can we avoid a trip every day is a good beginning.
83,FASTLEGEORDNINGEN ble innført i 2001.,The general medical scheme was introduced in 2001.
84,"Hensikten med ordningen er at alle som ønsker det, kan ha en fast lege å gå til.",The purpose of the scheme is that anyone who wants it can have a permanent doctor to go to.
85,"Man kan selv velge lege, og man har rett til å bytte lege to ganger per år. ","You can choose a doctor yourself, and you have the right to change your doctor twice a year."
86,"Hos legen betaler du en egenandel, mens det offentlige betaler resten.","At the doctor you pay a deductible, while the public pays the rest."
87,Tale Maria Krohn Engvik er helsesykepleier og har skrevet ei bok som heter Våg å være. ,Tale Maria Krohn Engvik is a health nurse and has written a book called Våg to be.
88,I boka skriver hun om livsmestring og svarer på spørsmål fra unge mennesker.,In the book she writes about life management and answers questions from young people.
89,"De tar opp tanker om ensomhet og selvmord og temaer knyttet til kropp, sex og kjærlighet. ","They address thoughts of loneliness and suicide and themes related to body, sex and love."
90,Dette skriver en av ungdommene til henne:,This is what one of her youth writes:
91,"«Hei, jeg har perioder der jeg er ganske deprimert. ","""Hey, I have periods where I'm pretty depressed."
92,Jeg har også perioder hvor jeg faktisk er glad og føler meg bra. ,I also have periods when I am actually happy and feel good.
93,"Det eneste jeg vil, er å nyte livet og ha det bra med meg selv, men det synes jeg er veldig vanskelig ",The only thing I want is to enjoy life and have a good time with myself but I think it is very difficult
94,"Jeg skjønner liksom ikke hvorfor jeg er her, hvorfor jeg lever. ","I don't understand why I'm here, why I'm alive."
95,Ingen hadde tenkt over hvis jeg ikke hadde vært her. ,No one would have thought about if I hadn't been here.
96,"Jeg har ofte vansker med å sove, jeg har så mange tanker jeg kun tenker når jeg skal legge meg, når jeg er helt alene. ","I often have difficulty sleeping, I have so many thoughts I only think when I go to bed when I'm all alone."
97,"Jeg snakker ikke ofte om vanskelige ting, fordi jeg ikke føler at noen vil høre på meg, jeg føler meg ubrukelig, alene, redd og bekymret for hvordan livet mitt blir videre. ","I do not often talk about difficult things, because I do not feel that someone wants to listen to me, I feel useless, alone, scared and worried about how my life will continue."
98,Jeg vet bare ikke hva jeg skal gjøre med meg selv. ,I just don't know what to do to myself.
99,"Kan du hjelpe meg, fordi jeg vet ikke om noen andre som vil ...»","Can you help me, because I don't know of anyone else who wants to ... »"
100,Tale prøver å oppmuntre dem som sliter:,Speech tries to encourage those who are struggling:
101,«Livet gir oss mye godt - og mye vondt. ,“Life gives us a lot of good - and a lot of pain.
102,"Når vi minst venter det, er det noe nytt som slår oss i bakken. ","When we least expect it, something new strikes us on the ground."
103,Sånn er livet for oss alle!,That's the life for all of us!
