,NO,EN
0,Det er ille at politikerne ikke kan bestemme seg for å begynne å lete etter olje og gass her utenfor Lofoten.,It is bad that politicians cannot decide to start looking for oil and gas here outside Lofoten.
1,"Nei, vet du hva! Nå må vi ta vare på den naturen vi har.","No, you know what!Now we have to take care of the nature we have."
2,Men vi trenger nye arbeidsplasser. ,But we need new jobs.
3,Petroleumsindustrien kan gi godt betalte jobber til mange mennesker.,The petroleum industry can provide well -paid jobs to many people.
4,Det kan være. Men vi må ikke tenke så kortsiktig. ,It can be.But we must not think so short -term.
5,Olje og gas kan bare gi oss inntek i 20-30 år til.,Oil and gas can only give us revenue for another 20-30 years.
6,Det kan bli lenger enn det.,It can be longer than that.
7,"Men fisken har gitt oss gode inntekter i tusen år, og den kan gi oss inntekter i tusener av år til hvis vi ikke ødelegger miljøet i havet.","But the fish has generated good income for a thousand years, and it can give us income for thousands of years if we do not destroy the environment in the sea."
8,Men det er jo slett ikke sikkert at fiskeriene vil bli ødelagt.,But it is not certain that fisheries will be destroyed.
9,Sikkerheten ved utvinning av olje og gass blir stadig bedre.,The security of oil and gas extraction is constantly improving.
10,Men risikoen er for stor. ,But the risk is too great.
11,Og hva med turismen? ,And what about tourism?
12,Nå kommer det turister fra hele verden hit. ,Now tourists from all over the world come here.
13,Det gir veldig gode inntekter til landsdelen. ,It provides very good revenues for the region.
14,Turistene kommer ikke for å se på oljerigger! ,The tourists do not come to look at oil rigs!
15,De kommer hit på grunn av naturen og det rike fiske- og fuglelivet.,They come here because of nature and rich fishing and bird life.
16,Hva tror du vil skje hvis både fisken og fuglene blir borte?,What do you think will happen if both the fish and the birds are gone?
17,Men naturen blir jo ikke ødelagt. ,But nature is not destroyed.
18,Verken fisk eller fugl blir borte.,Neither fish nor bird is gone.
19,Det meste blir som før selv om vi får litt industri enkelte steder.,Most of it is like before even though we get some industry in some places.
20,Jeg tror ikke vi kan få både i pose og sekk. ,I don't think we can get both in bag and sack.
21,Vi er nødt til å ta vare på naturen. ,We have to take care of nature.
22,Derfor trenger vi fornuftige politikere.,That's why we need sensible politicians.
23,Det siste kan jeg være enig med deg i!,The last thing I can agree with you in!
24,Fiske og fiskeoppdrett er viktige eksportnæringer for Norge. ,Fishing and fish farming are important export industries for Norway.
25,Både fiske etter torsk og sild i havet og oppdrett av laks og ørret i oppdrettsanlegg betyr mye for norsk økonomi. ,Both fishing for cod and herring in the sea and salmon farming and trout in fish farms mean a lot to the Norwegian economy.
26,Fisken eksporteres til store deler av verden.,The fish is exported to large parts of the world.
27,Hva er Olas synspunkt?,What is Ola's point of view?
28,Hvilke argumenter bruker han?,What arguments does he use?
29,Hvem er dere mest enig med?,Who do you most agree with?
30,Det store oljeeventyret,The big oil adventure
31,I midten av 1960-årene begynte Norge å lete etter olje i Nordsjøen. ,"In the mid-1960s, Norway began to look for oil in the North Sea."
32,Landet hadde verken økonomi eller erfaring til å gjøre dette alene. ,The country had neither the economy nor the experience to do this alone.
33,Derfor ble utenlandske oljeselskaper bedt om å delta. ,"Therefore, foreign oil companies were asked to participate."
34,I begynnelsen så det ganske mørkt ut. ,In the beginning it looked pretty dark.
35,I løpet av fire år boret selskapene over 30 dype hull uten å finne noe.,"Over four years, the companies drilled over 30 deep holes without finding anything."
36,"Til slutt ga alle opp, unntatt det amerikanske selskapet Phillips Petroleum. ","Finally, everyone gave up, except the US company Phillips Petroleum."
37,De skulle bore et siste hull før de også pakket sammen. ,They should drill one last hole before packing together.
38,Høsten 1969 skjedde det! ,In the fall of 1969 it happened!
39,"Midt i Nordsjøen, på et område som nå heter Ekofisk, traff de på et oljefelt. ","In the middle of the North Sea, in an area now called Ekofisk, they hit an oil field."
40,Det store oljeeventyret kunne begynne.,The big oil adventure could begin.
41,Petroleumsnæringen er nå Norges største næring. ,The petroleum industry is now Norway's largest industry.
42,Både olje og gass gir store inntekter til landet. ,Both oil and gas generate large revenues to the country.
43,Norge er verdens sjette største oljeeksportør og nest største gasseksportør.,Norway is the world's sixth largest oil exporter and the second largest gas exporter.
44,"Oljeproduksjonen er gått litt nedover i det siste, men man regner med å kunne holde på i noen tiår til. ","Oil production has gone down a bit lately, but you expect to be able to last for a few more decades."
