,NO,EN
0,Naeringer i Norge,Naples in Norway
1,Hva lever vi av her i landet?,What are we living in in this country?
2,"Helt fra de første menneskene slo seg ned langs kysten for 1000 år siden, har sjoen vert viktig. ","From the very first people descended along the coast 1000 years ago, Sjoen has been important."
3,Fisk og sjømat har gitt både mat og arbeidsplasser. ,Fish and seafood have provided both food and jobs.
4,"Også skogen, fellene og elvene har betydd mye for utviklingen av næringslivet i Norge. ","The forests, traps and rivers have also meant a lot to the development of business in Norway."
5,Nå er olje og gass fra sjøen viktige ressurser.,Now oil and gas from the sea are important resources.
6,Et viktig diskus onstema er hva vi skal leve av i framtida.,An important discruition is what we will live on in the future.
7,IKKE BARE OLIE,Not just olie
8,Lasse er innom Holdeplassen for å kjøpe en kaffe og noen kanelboller til familien. ,Lasse is at the bus stop to buy a coffee and some cinnamon buns for the family.
9,Han og Gunnar tar en prat.,He and Gunnar have a chat.
10,"Du, Lasse, du jobber jo med energi og vet sikkert mye om det.","You, Lasse, you work with energy and probably know a lot about it."
11,Hordan tror du det vil ga med okonomien her i landet nar vi ikke kan ta opp mer olje og gass?,Hordan do you think it will give with the economic in this country when we can't absorb more oil and gas?
12,Norge klarte seg bra for oljen. ,Norway did well for the oil.
13,"Fisk, tømmer og skipsfart har gitt oss gode inntekter. ","Fish, timber and shipping have given us good income."
14,Jeg tror fisk og sjømat blir veldig viktig i framtida også.,I think fish and seafood will be very important in the future as well.
15,Men olje og gass gir mye større inntekter.,But oil and gas generate much larger revenues.
16,"Det er jeg enig i, men oljeindustrien har gitt oss mye teknologisk kompetanse. ","I agree with that, but the oil industry has given us a lot of technological expertise."
17,"Nå må vi bruke denne kompetansen til å bygge opp en ny, miljøvennlig industri. ","Now we have to use this expertise to build a new, environmentally friendly industry."
18,"Hva tenker du på da? Solcellepaneler og sånt? Ja, det også. ","What are you thinking about then?Solar panels and stuff?Yes, that too."
19,"All teknologi som gjør at vi ikke slipper ut klimagasser, kommer til å være viktig. ",All technology that makes us not emit greenhouse gases will be important.
20,"Arbeidet med å fange opp utslipp av CO2 og lagre det under havbunnen  er spennende, synes jeg.","Work on capturing CO2 emissions and storing it under the seabed is exciting, I think."
21,Hva med vindturbiner? Jeg liker ikke at det bygges store vindturbiner i naturen. ,What about wind turbines?I do not like that large wind turbines are built in nature.
22,De hører ikke hjemme der.,They don't belong there.
23,Enig. Naturen må vi ta vare på. ,Agree.We must take care of nature.
24,Det er altfor lite urørt natur igjen i verden.,There is too little untouched nature left in the world.
25,"Men noen steder er det bra med vindturbiner, synes jeg. ","But in some places it is good with wind turbines, I think."
26,Spesielt til havs.,Especially at sea.
27,Noen vil ikke ha vindkraft der heller. ,Some do not want wind power there either.
