,NO,EN
0,"Verden forandrer seg raskt, og i et moderne samfunn er det ofte et krav om utdanning for å få jobb. ","The world changes rapidly, and in a modern society there is often a requirement for education to get a job."
1,Heldigvis er det aldrifor sent å lare noe nytt. ,"Fortunately, it is never late to learn anything new."
2,Det finnes tilbud om utdanning bade for ungdom og for voksne.,There are offers of education both for youth and for adults.
3,AMALIE OG FARMOR,Amalie and Grandma
4,Amalie er 14 år og gar i niende klasse på ungdomsskolen.,Amalie is 14 years old and is in the ninth grade at the secondary school.
5,"Foreldrene hennes er skilt, og hun bor annenhver uke hos mora si og annenhver uke hos faren sin. ","Her parents are divorced, and she lives every other week with her mother and every other week with her father."
6,"Faren heter Lasse, og han bor sammen med Tove.","The father is called Lasse, and he lives with Tove."
7,Amalie liker godt å stikke innom farmora etter skoletid.,Amalie likes to stop by Grandma after school.
8,"Etter at foreldrene ble skilt, synes hun deter ekstra hyggelig nar farmora har tid til å sitte ned og prate i ro og fred.","After her parents were divorced, she thinks it is extra nice when her grandmother has time to sit down and talk at rest."
9,"Vil du ha en kopp te og noen kjeks, Amalie?","Do you want a cup of tea and some biscuits, Amalie?"
10,"Ja takk, gjerne.",Yes please.
11,Du ser litt sliten ut i dag. ,You look a little tired today.
12,Er det for mye å gjøre på skolen?,Is it too much to do at school?
13,"Nei, det er ikke for mye å gjøre, men jeg er litt lei i dag.","No, it's not too much to do, but I'm a little tired today."
14,Jeg trodde du likte deg på skolen? Gjør du ikke det?,I thought you liked you at school?Don't you do that?
15,"Jo, jeg gjør det. Men noen ganger blir jeg frustrert.","Yes, I do.But sometimes I get frustrated."
16,Vi kaster bort så mye tid.,We waste so much time.
17,Det er masse diskusjoner og bråk før vi kommer i gang med oppgavene.,There are lots of discussions and trouble before we start the tasks.
18,Læreren mener kanskje at dere skal lære å diskutere og samarbeide med hverandre?,Maybe the teacher thinks you should learn to discuss and work with each other?
19,"Ja, men når vi jobber sammen i grupper, er det alltid noen som ikke gidder å jobbe ordentlig. ","Yes, but when we work together in groups, there is always someone who does not bother to work properly."
20,Ofte må jeg gjøre mesteparten.,Often I have to do most.
21,"Det er sikkert kjedelig, men du lærer iallfall mye.","It is certainly boring, but at least you learn a lot."
22,Man lærer mye når man må forklare noe for andre.,You learn a lot when you have to explain something to others.
23,"Kanskje det, men jeg vil gjerne lære noe nytt av lærerne. ","Maybe so, but I would like to learn something new from the teachers."
24,Jeg må ha gode karakterer for å komme inn på idrettsfag på videregående.,I must have good grades to get into sports subjects in high school.
25,Derfor blir jeg så irritert når vi kaster bort tida.,That's why I get so annoyed when we waste time.
26,Jeg tror likevel at skolen gjør mye som er bra.,"Still, I think the school is doing a lot that is good."
27,Jeg blir ofte imponert når jeg hører på deg og andre unge. ,I am often impressed when I listen to you and other young people.
28,"Dere vet så mye, og dere er så flinke til å diskutere og argumentere.",You know so much and you are so good at discussing and arguing.
29,Synes du det?,Do you think so?
30,"Ja, det er det ikke tvil om.","Yes, there is no doubt."
31,"Da jeg gikk på skolen, satt vi stille på plassene våre og hørte på hva læreren sa. ","When I went to school, we sat quietly in our places and listened to what the teacher said."
32,Vi var ikke så selvstendige som dere unge er nå. ,We were not as independent as you young people are now.
33,"Jeg gjemte meg bak ryggen til henne som satt foran meg, og håpet at læreren ikke ville spørre meg om noe.","I was hiding behind her back to her in front of me, hoping that the teacher would not ask me anything."
34,HVA ER EN GOD SKOLE?,What is a good school?
35,"To foreldre som har barn på samme skole, motes utenfor butikken. ",Two parents who have children at the same school are fashioned outside the store.
36,Det gar ikke lang tid for de snakker om skolen som barna gar på.,It is not long for them to talk about the school that the children are watching.
37,Jeg synes den norske skolen er litt for slapp. ,I think the Norwegian school is a little too limp.
38,Elevene sitter der med telefonene og nettbrettene sine og kan gore nesten hva de vil!,The students sit there with their phones and tablets and can do almost what they want!
39,Nå overdriver du. ,Now you exaggerate.
40,"De larer å arbeide selvstendig, og deter viktig. ","They come to work independently, and it is important."
41,Det nytter ikke med gammeldags pugging lenger.,It is no use with old -fashioned pugging anymore.
42,"Jeger vel kanskje litt gammeldags, da. ","Well, maybe a little old fashioned, then."
43,Jeg synes godt det kan vare litt mer pugging. ,I think it can last a little more pugging.
44,Jeg vil at barna mine skal lare så mye som mulig. ,I want my kids to learn as much as possible.
45,Da ma laereren bestemme mer.,Then the teacher must decide more.
46,Jeg tror de laerer mye av å jobbe sammen og diskutere med hverandre.,I think they learn a lot of working together and discussing with each other.
47,"Men hvis man skal lære matematikk og språk, nytter det ikke å diskutere med hverandre. ","But if you are going to learn mathematics and language, it is no use to discuss with each other."
48,Da ma man lare hva som er riktig. ,Then you have to learn what is right.
49,Det ma lareren forklare elevene.,It must explain the students.
50,Jeger enig i at læreren er veldig viktig. Men ...,Jeger agrees that the teacher is very important.But ...
51,Og dessuten ma elevene fa karakterer mye tidligere.,"And besides, students must gradually have grades."
52,Deter jeg ikke enig.i,That I don't agree.i
53,Karakterer vil bare fore til mer press.,Characters will only lead to more pressure.
54,"Men hvis de ikke får karakterer, trenger de jo ikke å arbeide så mye på skolen. ","But if they do not get grades, they do not need to work so much at school."
55,Deter viktig å vite hordan det gar. ,It is important to know the hordine it goes.
56,"Hvis elevene får darlige karakterer, skjønner de at de må jobbe mer. ","If the students get bad grades, they realize that they need to work more."
57,Dessuten er det sunt med litt konkurranse.,"Besides, it is healthy with some competition."
58,Jeg tror karakterer ødelegger.,I think characters are destroying.
59,Barna bør gå på skolen uten at de får høre at noen er bedre enn andre. ,The children should go to school without hearing that someone is better than others.
60,Barn må få lov til å være barn.,Children must be allowed to be children.
61,De lærer best når de har lyst til å lære noe.,They learn best when they want to learn something.
62,Noen er interessert i å arbeide hardt og oppnå resultater. ,Some are interested in working hard and achieving results.
63,Da burde de få lov til å gå i klasse sammen med andre som vil det samme.,Then they should be allowed to go to class with others who want the same.
64,Jeg er helt uenig! Det er bra at alle går sammen.,I totally disagree!It's good that everyone goes together.
65,Vi er så mye mer enn karakterer. ,We are so much more than grades.
66,"Alle kan lære noe av hverandre, og barna har godt av å bli kjent med ulike typer mennesker.","Everyone can learn something from each other, and the children benefit from getting to know different types of people."
67,Karakterer kan være tall eller bokstaver.,Grades can be numbers or letters.
68,Elevene i ungdomskolen og på videregående skole får karakterer i form av tall.,The pupils in secondary school and high school receive grades in the form of numbers.
69,"Karakterene går fra 1 til 6, og 6 er den beste karakteren.","The grades go from 1 to 6, and 6 is the best grade."
70,"I barneskolen får elevene ikke karakterer, men individuelle vurderinger.","In primary school, students do not receive grades, but individual assessments."
