,NO,EN
0,I en velferdsstat er det et mål å gi innbyggerne økonomisk og sosial trygghet. ,"In a welfare state, it is a goal to provide the citizens financial and social security."
1,"Gratis undervisning, gode trygdeordninger og nødvendig helsehjelp er viktige rettigheter i en velferdsstat.","Free teaching, good social security schemes and necessary health care are important rights in a welfare state."
2,Tove er gravid. ,Tove is pregnant.
3,"Nå nærmer fødselen seg, og hun skal snart ha permisjon. ","Now the birth is approaching, and she will soon have leave."
4,I lunsjpausen sitter hun i kantina og prater med noen kollegaer på jobben.,"During the lunch break, she sits in the canteen and talks to some colleagues at work."
5,"Når går du ut i permisjon, Tove?","When are you going on leave, Tove?"
6,I slutten av måneden. Jeg skal ha permisjon i tre uker før fødselen.,At the end of the month.I will have leave for three weeks before birth.
7,Hvor lenge blir du borte? Hvordan skal du og mannen din dele på permisjonen?,How long will you be gone?How are you and your husband to share on the leave?
8,Vi skal dele likt. Halvparten til hver.,We will share equally.Half to each.
9,Er du sikker på det? ,Are you sure about that?
10,"Du kommer nok til å være sliten etter fødselen, og du trenger ro og fred sammen med barnet.","You will probably be tired after birth, and you need peace and peace with the child."
11,Jeg får mange måneder hjemme før Lasse overtar.,I get many months at home before Lasse takes over.
12,Jeg tror det er bra for likestillingen at foreldrene tar like mye ansvar for barn og hjem.,I think it is good for gender equality that parents take just as much responsibility for children and homes.
13,Enig. Likestilling er viktig. Menn kan ha ansvar hjemme like godt som kvinner. ,Agree.Equality is important.Men may be responsible at home as well as women.
14,Det er urettferdig hvis foreldrene ikke får like mye fri.,It is unfair if the parents do not get as much free.
15,Du tror kanskje det blir mye fritid med et spedbarn i huset?,You think maybe there will be a lot of free time with an infant in the house?
16,"Ja, det regner jeg med. Hvis jeg får barn, vil jeg ha mest mulig permisjon.","Yes, I expect.If I have children, I will have as much leave as possible."
17,Da kan jeg få tid til å drive med hobbyene mine og kanskje ta litt ekstra utdanning.,Then I can have time to do my hobbies and maybe take some extra education.
18,Du tuller! Men alvorlig talt. ,You're kidding!But seriously.
19,Jeg synes mora bør være hjemme så lenge som mulig. ,I think my mother should be home for as long as possible.
20,Det er jo bare hun som kan amme.,"After all, only she can breastfeed."
21,Jeg er sikker på at det er bra både for Lasse og for barnet å være mye sammen.,I am sure it is good for both Lasse and for the child to be a lot together.
22,Da får de god kontakt helt fra begynnelsen.,Then they get good contact right from the beginning.
23,Dessuten er det viktig at arbeidsgiverne blir vant til at fedre kan ta lengre permisjon enn den faste pappakvoten.,"In addition, it is important that employers become accustomed to the fact that fathers can take longer leave than the fixed daddy quota."
24,Det er hyggelig at du kommer raskt tilbake til jobb. ,It's nice that you get back to work quickly.
25,Men jeg synes du bør tenke litt mer pa det før du bestemmer deg.,But I think you should think a little more about it before you decide.
26,FORELDREPENGER,Parental money
27,"Når mora har arbeid, har både hun og faren til barnet rett til å få permisjon. ","When her mother has work, both she and the father of the child are entitled to leave."
28,De kan ta 49 ukers permisjon med full lønn eller 59 uker med 80% lønn. ,They can take 49 weeks of leave with full salary or 59 weeks with 80% salary.
29,Foreldrepengene fra Nav erstatter lønn.,The parental allowance from NAV replaces salaries.
30,"En viss periode er reservert for mora, en viss periode er reservert for faren. ","A certain period is reserved for the mother, a certain period is reserved for the father."
31,Den reserverte delen for begge er 15 uker med full lønn eller 19 uker med 80% lønn. ,The reserved section for both is 15 weeks with full salary or 19 weeks with 80% salary.
32,Mora har i tillegg rett til permisjon tre uker før fødselen. ,The mother is also entitled to leave three weeks before birth.
33,Resten kan de dele som de vil.,They can share the rest as they please.
34,"Hvis mora ikke har jobb, kan hun få en støtte (engangsstøtte)","If her mother does not have a job, she can get a support (one -time support)"
35,fra Nav ved fødselen.,from NAV at birth.
36,Les mer om foreldrepenger på nav.no.,Read more about parental allowance at Nav.no.
37,ELDREOMSORG,Elderly
38,"Omtrent 12 % av befolkningen i Norge er over 70 år, og denne andelen øker. ","About 12 % of the population in Norway is over 70 years of age, and this proportion is increasing."
39,Dermed øker også behovet for en god eldreomsorg. ,This also increases the need for good elderly care.
40,De fleste eldre bor i sitt eget hjem og klarer seg på egen hånd eller med hjelp av familien. ,Most elderly people live in their own homes and manage on their own or with the help of the family.
41,Av eldre over 80 år bor ca. 12 % på institusjon.,"Of the elderly over 80, approx.12 % at institution."
42,Omtrent en tredjedel av dem mellom 80 og 90 år får hjelp av hjemmetjenesten.,About a third of them between 80 and 90 years get help from the home service.
43,Da kan de få hjelp av en hjemmehjelp og en hjemmesykepleier. ,Then they can get help from a home help and a home nurse.
44,En hjemmesykepleier er utdannet sykepleier. ,A home nurse is a trained nurse.
45,En hjemmehjelp trenger ikke spesiell utdanning.,A home help does not need special education.
46,Av eldre over 90 år bor omtrent en tredjedel på institusjon. ,"Of the elderly over 90, about a third live in an institution."
47,"De fleste over 90 år som bor hjemme,får hjelp av hjemmetjenesten",Most over 90 years who live at home get help from the home service
48,LASSES MOR TRENGER HIELP,Lasse's mother needs Hielp
49,Lasses mor er pensjonist. ,Lasse's mother is a pensioner.
50,"Vanligvis er hun aktiv og i god form, men nå har hun akkurat kommet hjem fra sykehuset.","She is usually active and in good shape, but now she has just returned from the hospital."
51,Hun har hatt en hofteoperasjon og trenger litt help. ,She has had a hip operation and needs some help.
52,Heldigvis bor Lasse i nærheten.,"Fortunately, Lasse lives nearby."
53,"Jeg skal bort til farmor med middag, Amalie. Blir du med?","I'm going to Grandma with dinner, Amalie.Do you join?"
54,Ikke i dag. Jeg må lese til en prøve.,Not today.I have to read to a test.
55,Men jeg skal besøke henne i morgen etter skolen.,But I'll visit her tomorrow after school.
56,Da skal jeg handle for henne.,Then I'll act for her.
57,Hordan går det med henne?,Hordan is it going with her?
58,Hun sier at det gar bra. ,She says it goes well.
59,Na får hun hjemmehjelp fra i morgen.,Now she gets home help from tomorrow.
60,Da blir det enklere.,Then it becomes easier.
61,Er det ikke tryggest at hun bor hos oss i noen dager?,Isn't it safest that she lives with us for a few days?
62,"Jeg har spurt henne, men hun sier veldig bestemt nei takk.","I've asked her, but she says very definitely no thanks."
63,Hva med rehabilitering? ,What about rehabilitation?
64,Deter et rehabiliteringssenter her i nærheten.,There is a rehabilitation center here nearby.
65,"Nei, hun er fast bestemt på å bo hjemme hos seg selv. ","No, she is determined to stay at home with herself."
66,"Når hun får hjemmehjelp, tror jeg det gar bra.","When she gets home help, I think it goes well."
67,Jeg stikker jo også ofte innom.,I also often stop by.
68,FOLKETRYGDEN,National Insurance
69,"Alle som bor i Norge, er automatisk medlem av folketrygden. ",Everyone who lives in Norway is automatically a member of the National Insurance Scheme.
70,"Gjennom folketrygden får man sykepenger og pensjon, og man kan få økonomisk støtte hvis man mister jobben.","Through the national insurance, you receive sick pay and pensions, and you can receive financial support if you lose your job."
71,Folketrygden skal også gi alle innbyggerne nødvendige helsetjenester. ,The National Insurance Scheme shall also provide all the inhabitants the necessary health services.
72,Derfor er det gratis å få behandling pa offentlige sykehus. ,"Therefore, it is free to receive treatment in public hospitals."
73,"Når man gar til fastlegen, og nar man kjøper medisiner, ma man betale en egenandel. ","When you go to the GP and when you buy medicines, you have to pay a deductible."
74,"Men hvis man har store utgifter til nødvendig medisin eller legebesøk, får man frikort. ","But if you have large expenses for the necessary medicine or doctor visits, you get a free card."
75,"Når man har frikort, slipper man å betale egenandeler resten av året.","When you have a free pass, you do not have to pay deductibles for the rest of the year."
76,"Dette er dyrt for staten, og folketrygden er den største utgiften staten har. ","This is expensive for the state, and the national insurance is the largest expense the state has."
77,En stor del er det vi - alle medlemmene - som betaler. ,A large part are we - all the members - who pay.
78,Betalingen trekkes automatisk fra lønna gjennom skatten. ,The payment is automatically deducted from the salary through the tax.
79,"Også arbeidsgiverne og staten betaler store beløp til folketrygden, men systemet er avengig av at mange har jobb, og at de betaler skatt.","Employers and the state also pay large amounts to the National Insurance Scheme, but the system is off that many have a job and that they pay taxes."
80,Nav administrerer det meste av folketrygden. ,NAV manages most of the national insurance.
81,HELFO administrerer helsetjenestene.,Helfo manages health services.
82,"I Norge er de fleste sykehus og helsetjenester offentlige, men det finnes også mange private tilbud. ","In Norway, most hospitals and health services are public, but there are also many private services."
83,Man kan kontakte de private institusjonene selv og betale for behandlingen.,You can contact the private institutions themselves and pay for the treatment.
84,OFFENTLIG OG PRIVAT HELSEVESEN,Public and private health care
85,"Når det er behov for det, kan det offentlige kjøpe helsetjenester fra det private helsevesenet. ","When needed, the public can buy health services from the private health care system."
86,Da betaler psientene det samme for privat behandling som for offentlig. ,Then the psalids pay the same for private treatment as too public.
87,JEG ER HJEMMEHJELP,I am home help
88,Jeg drar hjem til eldre og andre som trenger praktisk bistand i dagliglivet. ,I go home to the elderly and others who need practical assistance in daily life.
89,"Nar de får litt help, kan de fortsette å bo hjemme hos seg selv. ","When they get some help, they can continue to live at home."
90,"De fleste onsker det. De som jeg besøker, har like behov. ",Most people want it.The ones I visit have equal needs.
91,"Noen trenger hjelp til personlig stell, andre til husarbeid eller til innkjop. ","Some need help for personal care, others for housework or for a purchase."
92,De fleste har ogsa lyst til å prate litt og liker å få besøk. ,Most people also want to talk a little and like to visit.
93,Noen har dekket bordet med de fineste kaffekoppene når jeg kommer. ,Some have covered the table with the finest coffee cups when I arrive.
94,"Jeg synes ofte jeg far for lite tid med her enkelt, men det er likevel en meningsfylt jobb. ","I often think I get too little time here, but it is still a meaningful job."
95,Jeg føler at jeg gjør hverdagen litt lettere for dem jeg besøker.,I feel that I make everyday life a little easier for those I visit.
96,FOR MYE SKATT?,Too much tax?
97,Hvorfor skal staten betale for alt mulig? ,Why should the state pay for everything?
98,Vi må ikke sy puter under armene på folk.,We must not sew pillows under the arms of people.
99,"Jeg er aldri syk, men jeg betaler likevel inn til folketrygden.","I'm never sick, but I still pay to the National Insurance Scheme."
100,"Hvis du en dag blir syk eller mister jobben, blir du nok glad for de ordningene som finnes.","If one day you get sick or lose your job, you will probably be happy with the schemes that exist."
101,"Enig med deg, Cato. Jeg har ingen barn. ","Agree with you, Cato.I have no children."
102,Hvorfor skal jeg betale for at andres barn skal få gratis utdanning?,Why should I pay for other people's children to get free education?
103,"Vel, du er faktisk avhengig av at andre får barn, og at bara deres lærer noe!","Well, you are actually dependent on others having children, and their bara learn something!"
104,Hvem skal gjøre jobbene i samfunnet hvis ingen får barn?,Who should do the jobs in society if no one has children?
105,Hvem skal sørge for elektrisitet i boligen din? Hvem skal sørge for at det er mat å få?,Who will provide electricity in your home?Who should make sure there is food to get?
106,Hvem skal tømme søpla di?,Who will empty your garbage?
107,Og du har kanskje foreldre? ,And you may have parents?
108,"Vil du ikke at de skal få hjelp når de blir gamle, hvis de trenger det? ",Don't you want them to get help when they grow old if they need it?
109,Eller er du klar til å ha ansvar for dem? For min del betaler jeg gjeme skatt. ,"Or are you ready to be responsible for them?For my part, I pay hiding taxes."
110,Jeg vil leve i et samfunn med størst mulig trygghet for alle.,I want to live in a society with the greatest possible security for everyone.
111,Kan vi ikke ha frivillig forsikring mot sykdom og sånt?,Can't we have voluntary insurance against illness and stuff?
112,Jeg har familie i et land der det ikke er noe som likner på folketrygden. ,I have family in a country where there is nothing similar to the national insurance.
113,"Hvis de blir alvorlig syke, blir de mer bekymret for regningen fra sykehuset enn de blir for sykdommen.","If they become seriously ill, they become more concerned about the bill from the hospital than they become for the disease."
114,SKATT,TAX
115,Vi betaler skatt av det vi tjener. ,We pay tax on what we earn.
116,For mange er skatten ca. 25% av lønna. ,"For many, the tax is approx.25% of the salary."
117,Skatten øker med høy inntekt. ,The tax increases with high income.
118,"De som har høyest lønn, betaler mest skatt. ",Those who have the highest salary pay the most taxes.
119,På den måten bidrar skatten til at det er litt mindre ulikhet i samfunnet.,"In this way, the tax contributes to the fact that there is a little less inequality in society."
120,Arbeidsgiveren skal trekke skatt for utbetaling.,The employer must deduct taxes for payment.
121,"Når man får jobb, må man bestille skattekort fra skatteetaten. ","When you get a job, you have to book a tax card from the Tax Administration."
122,Det er et elektronisk kort som sendes til arbeidsgiveren. ,It is an electronic card that is sent to the employer.
