,NO,EN
0,Matpakke eller varm lunsj? ,Package or hot lunch?
1,Hva holder du på med? Sender SMS? ,What are you doing?Sends SMS?
2,Du har sittet med mobilen i en evighet nå.,You've been sitting with your mobile for an eternity now.
3,Jeg surfer bare litt på nettet. ,I just surf the web a little.
4,"Se her, her står det at matpakka er død. ","Look here, here it says that lunch is dead."
5,Mange har sluttet å ta med seg matpakke til lunsj.,Many have stopped bringing lunch for lunch.
6,Jeg spiser matpakke hver dag.,I eat packed lunch every day.
7,"Ja, og matpakka di ser utrolig kjedelig ut. ","Yes, and your packed lunch looks incredibly boring."
8,"Ei skive med ost, ei med salami og ei med leverpostei. ","A slice of cheese, one with salami and one with liver pie."
9,Blir du aldri lei av å spise det samme?,Do you never get tired of eating the same?
10,"Tja, jeg vet ikke. Hva er alternativet?","Well, I don't know.What is the option?"
11,"Varm lunsj, kanskje, slik de har i mange andre land? ","Warm lunch, maybe, as they have in many other countries?"
12,"På jobben til broren min er det ei fin kantine, med salatbar og varme lunsjretter. ","At my brother's job there is a nice canteen, with salad bar and warm lunch dishes."
13,I Sverige får til og med elevene varm mat på skolen.,"In Sweden, students even get hot food at school."
14,"Nei, det er ikke noe for meg. ","No, it's nothing to me."
15,Etter en varm lunsj blir jeg bare søvnig og ukonsentrert. ,After a hot lunch I just get sleepy and unconcentrated.
16,Dessuten vet jeg ikke om det er sunnere enn matpakka mi.,"Besides, I do not know if it is healthier than my packed lunch."
17,"Kanskje ikke, men en varm lunsj høres hyggeligere og mer sosialt ut.","Maybe not, but a hot lunch sounds nicer and more social."
18,Da bør du i alle fall legge vekk mobilen først.,Then you should at least put away the mobile first.
19,Hva spiser dere til frokost og lunsj? ,What do you eat for breakfast and lunch?
20,"Safia Yusuf Abdi er fra Somalia, og der går alle hjem for å spise lunsj, hvis de ikke har en felles lunsj på jobben.","Safia Yusuf Abdi is from Somalia, and there everyone goes home to have lunch, if they don't have a joint lunch at work."
21,"Tar dere med matpakke hjemmefra, eller kjøper dere mat i lunsjpausen? ","Do you bring a packed lunch, or do you buy food during the lunch break?"
22,Det tok lang tid før jeg ble vant til den norske matpakken. ,It took a long time before I got used to the Norwegian lunch box.
23,Minmatpakke ble annerledes uansett hva jeg gjorde. ,Min food package was different no matter what I did.
24,"Det plaget meg, for jeg ville gjerne ha matpakke som liknet den norske.","It bothered me, because I would like to have a packed lunch that was similar to the Norwegian."
25,Spiser dere varm eller kald mat? ,Do you eat hot or cold food?
26,"Jeg følte at jeg ikke kunne spørre hvordan man laget den, sjenert som jeg var.","I felt like I couldn't ask how to make it, shy as I was."
27,Hva spiste dere da dere var yngre? ,What did you eat when you were younger?
28,"De norske ville heller ikke smake på maten min som jeg tilbød dem, slik som vi gjør hjemme.","Nor would the Norwegians taste my food that I offered them, as we do at home."
29,Fikk dere varm mat på skolen? ,Did you get hot food at school?
30,På 60-tallet ble fryseren allemannseie. ,"In the 1960s, the freezer became public property."
31,NRK-kjendis Rolf Kirkvaag var direktør ved Dypfrysingskontoret og ledet arbeidet med å lære norske kvinner å fryse maten.,NRK celebrity Rolf Kirkvaag was director of the Deep Freezing Office and led the work of teaching Norwegian women to freeze their food.
