,NO,EN
0,GUNNAR JOBBER FOR SEG SELV,Gunnar works for himself
1,Jeg heter Gunnar og er 28 år gammel. ,My name is Gunnar and am 28 years old.
2,"Jeg kommer fra Kirkenes, men jeg har bodd flere steder i Norge. ","I come from Kirkenes, but I have lived in several places in Norway."
3,"Jeg har jobbet som servitør bade i Oslo og i Alesund, men na eier og driver jeg en stor kiosk her i Steinvik.","I have worked as a waiter swim in Oslo and Alesund, but now I own and run a large kiosk here in Steinvik."
4,"Den ligger i narheten av bussholdeplassen, og derfor har jeg kalt den for Holdeplassen. ","It is located in the National Bus Stop, which is why I called it the stop."
5,"Jeg selger vanlige kioskvarer som mineralvann, sjokolade, frukt og is. ","I sell regular kiosk products such as mineral water, chocolate, fruit and ice cream."
6,"I tillegg selger jeg kaffe, bakervarer og polser.","In addition, I sell coffee, baked goods and polls."
7,Det er mange som stikker innom pa vei til eller fra jobb.,There are many who stop by on their way to or from work.
8,"Hvis de har tid, kan de ta en kaffe ved vindusbenken og se pa folk som gar forbi.","If they have time, they can have a coffee at the window bench and look at people passing by."
9,"Jeg trives nar det er travelt på jobb, men i perioder er det veldig mye å gjøre. ","I enjoy it being busy at work, but at times there is a lot to do."
10,Dessuten er jeg ikke så glad i alle skjemaene som jeg má fylle ut og sende inn hele tida. ,"Besides, I am not so fond of all the forms that I have to fill in and submit all the time."
11,"Det er mange lover og regler som jeg ma kunne, og jeg har gatt pa mange kurs. ","There are many laws and regulations that I must, and I have gone on many courses."
12,Akkurat na gar jeg pa kurs for å lare de nye skattereglene.,Just now I go to course to learn the new tax rules.
13,SARA ER STUDENT,Sara is a student
14,Sara er 23 ar og kommer fra Iran. ,Sara is 23 years and comes from Iran.
15,Hun kom som flyktning til Norge sammen med foreldrene sine og broren sin. ,She came to Norway as a refugee with her parents and brother.
16,Da var hun åtte år.,Then she was eight years old.
17,"Deter fredag ettermiddag, og hun er i kiosken for å kjøpe sjokolade.","This Friday afternoon, and she's in the kiosk to buy chocolate."
18,"Hei, Sara. Lenge siden sist.","Hi, Sara.Long time no see."
19,"Ja, nå er det en stund siden. Deter mye å gjøre, og snart er det eksamen.","Yes, now it's a while ago.There is a lot to do, and soon there is the exam."
20,Hva studerer du? Er det ikke farmasi?,What do you study?Isn't it pharmacy?
21,"Jo, du husker jammen god. Husker du alle kundene dine?","Yes, you remember well.Do you remember all your customers?"
22,"Å, du vet. Noen husker jeg bedre enn andre. ","Oh, you know.Some I remember better than others."
23,Har du mer av den spesielle sjokoladen som mamma og pappa pleier å kjøpe?,Do you have more of the special chocolate that mom and dad tend to buy?
24,"Ja, det har jeg. Mora di sa en gang at den minner henne om Iran. ",Yes I have.Your mother once said it reminds her of Iran.
25,Vær så god. Bor du hiemme fremdeles?,You're welcome.Do you still live Hiemme?
26,"Ja, men na har jeg planer om å flytte sammen med noen venner. Ikke fortell det til noen!","Yes, but now I plan to move with some friends.Don't tell it to anyone!"
27,Hvorfor er det hemmelig?,Why is it secret?
28,"Vel ... Foreldrene mine er veldig greie, men pappa vil gerne passe pa meg. ","Well ... my parents are very decent, but Dad wants to take care of me."
29,"Han vil helst at jeg skal bo hjemme til jeg gifter meg, men det vil jeg ikke.","He wants me to stay at home until I get married, but I won't."
30,Jeg vil stå på egne bein.,I want to stand on my own legs.
31,Det forstar jeg godt. Har du tenkt &soke jobb på et apotek nar du er ferdig med utdannelsen?,I understand that well.Have you thought of a pharmacy when you're done with your education?
32,"Ja, jeg tror det, men jeg har veldig lyst til å reise litt ogsa. Hvor da?","Yes, I think so, but I really want to travel a little too.Where then?"
33,Jeg har alltid hatt lyst til a jobbe for meg selv. ,I've always wanted to work for myself.
34,Det gir meg en folelse av frihet. ,It gives me a feeling of freedom.
35,Dessuten er det moro i snakke med folk. ,"Besides, it's fun in talking to people."
36,"Jeg har mange faste kunder, og noen av dem har jeg blitt godt kient med.","I have many regular customers, and some of them I have become good kient with."
