,NO,EN
0,BARN OG UNGE,Children and young
1,Det er mange meninger om barneoppdragelse og hvordan et barn bør oppføre seg. ,There are many opinions about child rearing and how a child should behave.
2,"Hva er det viktig å lære barna, og hva er ikke så viktig?",What is important to teach the children and what is not so important?
3,fritidsaktiviteter og medborgerskap,leisure activities and citizenship
4,barneoppdragelse,child rearing
5,barnevernet,child welfare
6,barns rettigheter,Children's rights
7,Barn staver kjærlighet slik: T-I-D.,Children spell love like this: T-i-d.
8,"Alle mennesker, bortsett fra foreldrene, vet hvordan man oppdrar barn.","All people, except for parents, know how to raise children."
9,Et sted har jeg lest at man ikke kan oppdra sine barn.,Somewhere I have read that you cannot raise your children.
10,Man kan bare være et godt eksempel.,You can only be a good example.
11,SNAKK MED HAM,Talk to him
12,Sara er veldig fornøyd. Hun har fått deltidsjobb på et apotek ved siden av studiene i farmasi. ,Sara is very pleased.She has got a part -time job at a pharmacy next to the studies in pharmacy.
13,"Klokka er nesten tolv, og hun går rundt og hjelper kunder. ","It is almost twelve, and she goes around and helps customers."
14,En kunde har tannverk og vil ha smertestillende tabletter. ,A customer has a dental work and wants painkillers.
15,En annen har eksem og trenger en god hudkrem. ,Another has eczema and needs a good skin cream.
16,Sara synes det er hyggelig å snakke med kundene.,Sara thinks it's nice to talk to the customers.
17,Mora hennes kommer inn på apoteket. ,Her mother comes into the pharmacy.
18,Hun venter til Sara blir ledig og kan ta lunsjpause. ,She waits until Sara becomes free and can take a lunch break.
19,De har avtalt å gå og spise på kafeen i nærheten.,They have agreed to walk and eat at the cafe nearby.
20,Hvordan går det?,How are you?
21,Kjempebra. ,Very good.
22,"Det går fint med studiene, og jeg liker meg i kollektivet.","The studies are doing well, and I like the collective."
23,Gjør du? ,Do you?
24,Pappa var veldig skeptisk til dette kollektivet. ,Dad was very skeptical of this collective.
25,"Jeg også, forresten.","I too, by the way."
26,"Jeg vet det, men jeg er glad for at dere sa ja til slutt.","I know, but I'm glad you said yes in the end."
27,Hvordan går det hjemme?,How's it going at home?
28,Ikke så bra. ,Not so good.
29,"Vi savner deg, og vi er bekymret for Darian. ",We miss you and we are worried about Darian.
30,Han er på fritidsklubben hver dag.,He is at the leisure club every day.
31,Det er godt at han har klubben.,It's good that he has the club.
32,Godt? Han burde være hjemme og konsentrere seg om skolearbeidet.,Well?He should be home and concentrate on school work.
33,"Mamma, Darian har det ikke så bra akkurat nå.","Mom, Darian isn't doing well right now."
34,"Fritidsklubben er et fristed, et sted der han kan henge, uten at det må skje så mye.","The leisure club is a sanctuary, a place where he can hang, without having to happen so much."
35,"«Henge»? Skal de henge? Være sammen, da. ","""Hang""?Should they hang?Be together, then."
36,"På fritidsklubben føler han seg velkommen, uten at noen forteller ham hva han skal gjøre hele tida.","At the leisure club he feels welcome, without anyone telling him what to do all the time."
37,Du var aldri på klubben. ,You were never at the club.
38,Hvorfor ikke?,Why not?
39,"Jeg vet ikke, men jeg hadde så mye annet å gjøre.","I don't know, but I had so much else to do."
40,Jeg spilte fotball og var med i turngruppa.,I played football and joined the tour group.
