,NO,EN
0,Å SØKE JOBB,To apply for a job
1,"Å søke jobb kan vare krevende, og det kan ta tid for man får et positivt svar. ","Seeking a job can be demanding, and it can take time for you to get a positive answer."
2,Er det mange andre søkere? ,Are there many other applicants?
3,Er det min tur denne gangen? ,Is it my turn this time?
4,"Ikke gi opp, sier jobbekspertene, og søk på flere jobber samtidig.","Don't give up, says job experts, and search for more jobs at the same time."
5,arbeidsliv og jobbsøking,working life and job search
6,CV og intervju,Resume and interview
7,personlige egenskaper,personal characteristics
8,nettverk,network
9,Gjør i dag det du gjerne vil utsette til i morgen.,Do what you would like to postpone until tomorrow.
10,NÅ MÅ DU FÅ DEG EN JOBB!,Now you have to get a job!
11,"Darian har sluttet på skolen, etter noen få måneder i andre klasse på videregående. ","Darian has quit school, after a few months in second grade in high school."
12,"Han har vært sliten og lei veldig lenge, og til slutt ble det helt umulig å konsentrere seg på skolen. ","He has been tired and tired for a very long time, and in the end it became completely impossible to concentrate at school."
13,"Foreldrene er skuffet og bekymret, og de lurer på hva han har tenkt å gjøre nå.","The parents are disappointed and worried, and they wonder what he intends to do now."
14,Det kan ikke Darian svare på. ,Darian can't answer that.
15,Mesteparten av tida er han på fritidsklubben eller på rommet sitt. ,Most of the time he is at the leisure club or in his room.
16,"Ukene går, men en da sier mora hans stopp.","The weeks go by, but one then says his mother's stop."
17,Nå er det nok. ,Enough.
18,Du må finne deg en jobb.,You have to find a job.
19,Du kan ikke gå arbeidsledig hele året.,You can't go unemployed all year.
20,Det er lett for deg å si. ,It's easy for you to say.
21,Jobbene vokser ikke akkurat på trær når du er 18 år og har droppet ut av skolen.,The jobs do not grow exactly on trees when you are 18 and have dropped out of school.
22,Hva med deltidsjobben du hadde i matvarebutikken?,What about the part -time job you had in the grocery store?
23,"Jeg har spurt, men de har ingen ledige jobber der nå.","I have asked, but they have no vacancies there now."
24,Du kan i alle fall ikke sitte på rommet ditt hele dagen.,"In any case, you can't sit in your room all day."
25,Jeg gjør ikke det. ,I do not do that.
26,"Jeg er på fritidsklubben, og jeg ser etter ledige jobber nesten hver dag.","I'm at the leisure club, and I look for vacancies almost every day."
27,Apropos klubben. ,Speaking of the club.
28,Sara sier at du hjelper andre med å lage musikk. ,Sara says you help others make music.
29,Stemmer det?,Is that right?
30,"Ja, det er et lite musikkrom der, med mange forskjellige instrumenter. ","Yes, there is a small music room there, with many different instruments."
31,"Jeg og bandet mitt bruker det hvis det er ledig, og da må jeg noen ganger vise andre hvordan alt fungerer.","Me and my band use it if it is free, and then I sometimes have to show others how everything works."
32,Så bra! ,So good!
33,Jeg spør fordi jeg så en interessant utlysning om en jobb i en barnehage i går.,I ask because I saw an interesting announcement about a job in a kindergarten yesterday.
34,En barnehage? ,A kinder garden?
35,Jeg har ikke erfaring fra barnehager.,I have no experience from kindergartens.
36,"Nei, men i annonsen sto det at de søkte en assistent som var interessert i musikk, og som like å arbeide med barn. ","No, but in the ad it was said that they applied for an assistant who was interested in music and who liked to work with children."
37,Er ikke det noe for deg? ,Isn't that something for you?
