,NO,EN
0,9 Vær og årstider,9 weather and seasons
1,HVORDAN ER VÆRET?,HOW IS THE WEATHER?
2,Sola skinner. Det er sol. Det er solskinn.,The sun shines.It is sunny.It's sunshine.
3,Det er varmt og godt. Det er fint vær.,It's hot and good.It's nice weather.
4,Det er varmegrader. Det er pluss 25 grader.,It's degrees of heat.It's plus 25 degrees.
5,Det snør. Det er snø.,It's snowing.It is snow.
6,Det er kaldt. Det er kuldegrader.,It's cold.There are cold degrees.
7,Det er minus 10 grader,It is minus 10 degrees
8,Det regner. Det er regn. Det er regnvær.,It is raining.It is rain.It's rainy.
9,Det blåser. Det er vind.,It is windy.It's windy.
10,Det lyner. Det tordner.,It is lightning.It's thundering.
11,Det er overskyet.,It is overcast.
12,Det er glatt.,It's slippery.
13,Det er tåke.,There is fog.
14,HVILKEN ÅRSTID LIKER DU?,What season do you like?
15,Jeg liker vinteren,I like winter
16,Jeg heter Beate og er fra Alta. ,My name is Beate and I am from Alta.
17,"Jeg synes det er fint her, særlig om vinteren. ","I think it's nice here, especially in winter."
18,Da går jeg på ski hver dag. ,Then I ski every day.
19,"Dagene er korte om vinteren, ","The days are short in winter,"
20,men jeg liker at det er mørkt.,But I like it's dark.
21,"I vinter var det mye nordlys i Alta, ","This winter there was a lot of northern lights in Alta,"
22,og da var det ekstra flott å være ute.,And then it was extra great to be out.
23,Jeg liker våren,I like spring
24,Jeg heter Inger og kommer fra Røros. ,My name is Inger and I come from Røros.
25,"Om vinteren er det ofte veldig kaldt på Røros,","In winter it is often very cold at Røros,"
26,"(rekorden er minus 50 grader), ","(The record is minus 50 degrees),"
27,og om sommeren er det ofte for varmt. ,And in the summer it is often too hot.
28,Da svetter jeg og føler meg trøtt. ,Then I sweat and feel tired.
29,Men om våren er det deilig. ,But in the spring it is delicious.
30,"Snøen smelter, og blomstene kommer fram. ",The snow melts and the flowers appear.
31,Jeg er glad i å gå på tur og plukke vårblomster.,I love walking and picking spring flowers.
32,Jeg liker sommeren,I like the summer
33,Jeg heter Rafiq og kommer fra Arendal,My name is Rafiq and comes from Arendal
34,Om sommeren drar jeg ofte med båt til øya Merdo. ,In the summer I often go by boat to the island of Merdo.
35,Der ligger jeg på stranda og hører på musikk. ,There I lie on the beach listening to music.
36,Jeg og kameratene mine liker også å sitte på utekafé og se på folk. ,Me and my comrades also enjoy sitting in an outdoor cafe and watching people.
37,"Folk er glade og smiler mye om sommeren, ","People are happy and smiles a lot in the summer,"
38,og det er lett å bli kjent med nye mennesker. ,And it's easy to get to know new people.
39,Det er fint,It is nice
40,Jeg liker høsten,I like the fall
41,Jeg heter Terje og bor i Kristiansund. ,My name is Terje and I live in Kristiansund.
42,"Det er fine turområder her, og jeg jogger hver dag.","There are nice hiking areas here, and I jog every day."
43,Jeg liker at det er regn og mye vind. ,I like that there is rain and a lot of wind.
44,Derfor er høsten min årstid. ,"Therefore, the fall is my season."
45,Jeg løper ofte ned til havet for å høre på vinden og bølgene. ,I often run down to the sea to listen to the wind and waves.
46,"Noen ganger fryser jeg litt, men etterpå tar jeg en varm dusj. ","Sometimes I freeze a little, but afterwards I take a hot shower."
