,NO,EN
0,3.2) Åse forteller,3.2) Åse tells
1,Vekkerklokka ringer klokka halv seks.,The alarm clock rings at half past six.
2,Da står jeg opp og tar en dusj.,Then I get up and take a shower.
3,Så lager jeg kaffe og spiser frokost.,Then I make coffee and eat breakfast.
4,Jeg spiser tre skiver brød og drikker to kopper kaffe.,I eat three slices of bread and drink two cups of coffee.
5,Jeg drikker også et glass jus.,I also drink a glass of law.
6,Jeg har en sønn. Han heter Tobias og er 15 år.,I have a son.His name is Tobias and is 15 years old.
7,"Han går på skolen, og han sover til klokka halv åtte.",He goes to school and he sleeps until half past eight.
8,Han er trøtt om morgenen.,He's tired in the morning.
9,Jeg spiser frokost alene.,I have breakfast alone.
10,Etterpå pusser jeg tennene og sminker meg.,Afterwards I brush my teeth and makeup.
11,Jeg lager matpakke og tar med meg et eple.,I make a packed lunch and bring an apple with me.
12,Fem over halv sju tar jeg buss til Solvåg hotell.,Five over half past seven I take a bus to Solvåg Hotel.
13,Jeg begynner klokka sju og arbeider til klokka tre.,I start at seven and work until three o'clock.
14,Jeg jobber vanligvis åtte timer hver dag.,I usually work eight hours every day.
15,Jeg rydder og vasker. Jeg rer senger.,I clean and wash.I do beds.
16,Etter jobben går jeg i butikken og kjøper mat.,After work I go to the store and buy food.
17,Så går jeg hjem og lager middag til Tobias og meg.,Then I go home and make dinner for Tobias and me.
18,Om ettermiddagen gjør jeg litt husarbeid.,In the afternoon I do some housework.
19,Om kvelden leser jeg eller ser på tv.,In the evening I read or watch TV.
20,Jeg legger meg litt etter klokka ti.,I lie down a little after ten o'clock.
21,Jeg sover fra klokka halv elleve til klokka halv seks om morgenen.,I sleep from half past eleven to half past six in the morning.
22,ÅSE OG TOBIAS,Åse and Tobias
23,Jeg heter Åse Gulliksen. ,My name is Åse Gulliksen.
24,Jeg er renholder på Solvåg hotell.,I am a cleaner at Solvåg Hotel.
25,Jeg er skilt og har en sønn. ,I am divorced and have a son.
26,Han heter Tobias og er 15 år. ,His name is Tobias and is 15 years old.
27,"Han bor hos meg, men annenhver helg bor han hos faren. ","He lives with me, but every other weekend he lives with his father."
28,Han er en snill gutt. ,He's a kind boy.
29,"Han savner faren, tror jeg. ","He misses his father, I think."
30,Men han sier ikke så mye til meg. ,But he doesn't say much to me.
31,Han liker seg på skolen. ,He likes school.
32,Om ettermiddagen gjør han lekser eller sitter og spiller.,In the afternoon he does homework or sits and plays.
33,På fredager lager vi taco. ,On Fridays we make taco.
34,Vi spiser og snakker sammen. ,We eat and talk together.
35,Etterpå koser vi oss med en film. ,Afterwards we enjoy a movie.
36,"Det er hyggelig, men kanskje er han for mye hjemme?","It's nice, but maybe he's too much at home?"
37,"Åse: Hei, Tobias. Hva gjør du?","Åse: Hi, Tobias.What are you doing?"
38,Tobias: Jeg spiller.,Tobias: I play.
39,Åse: Hvorfor er du ikke ute og spiller fotball med venner?,Åse: Why aren't you out playing football with friends?
40,Tobias: Ute?,Tobias: Outside?
41,"Åse: Ja. Det er fint vær ute, og du er ofte inne.","Åse: Yes.There is nice weather outside, and you are often in."
42,"Tobias: Å, mamma. Ikke mas.","Tobias: Oh, mom.Dont nag."
43,Jeg treffer venner på nettet. Vi spiller og prater.,I meet friends online.We play and talk.
44,"Men du, her er en melding fra Synne i klassen. ","But you, here's a message from Synne in the class."
45,Hun har fest på lørdag.,She has a party on Saturday.
46,Hele klassen kommer.,The whole class is coming.
47,Åse: Så hyggelig.,Åse: So nice.
48,Tobias: Mm. Det blir gøy. ,Tobias: mm.It will be fun.
49,"Hun er alene hjemme, skriver hun.","She is home alone, she writes."
50,Åse: Er ikke foreldrene der?,Åse: Aren't the parents there?
51,Tobias: Nei.,Tobias: No.
52,Åse: Det liker jeg ikke.,Åse: I don't like that.
53,Tobias: Slapp av. Hun har en bror. ,Tobias: Relax.She has a brother.
54,"Han er 20 år, og han er hjemme.",He is 20 years old and he is home.
55,Jeg gleder meg.,I look forward.
56,"Åse: Ja, men...","Åse: Yes, but ..."
57,ÅSE ER RENHOLDER,Åse is the cleaner
58,"Bianca: Hva gjør du en vanlig dag på jobben, Åse?","Bianca: What do you do a regular day at work, Åse?"
59,"Åse: Jeg rer senger, og jeg rydder og vasker og støvsuger.","ÅSE: I raise beds, and I clean and wash and vacuum."
60,Bianca: Er jobben slitsom?,Bianca: Is the job tiring?
61,"Åse: Arbeidet er litt tungt, ja. ","Åse: The work is a bit heavy, yes."
62,"Men det blir rent og ryddig, og det liker jeg.","But it gets clean and tidy, and I like that."
63,Bianca: Hvor mange timer jobber du hver dag?,Bianca: How many hours do you work every day?
64,Åse: Atte. Jeg begynner tidlig og har fri om ettermiddagen.,Åse: Atte.I start early and have free in the afternoon.
65,Da spiser jeg middag med Tobias. ,Then I have dinner with Tobias.
66,Etterpå studerer jeg.,Afterwards I study.
67,Bianca: Hva studerer du?,Bianca: What are you studying?
68,Åse: Jeg studerer serviceledelse.,Åse: I study service management.
69,Bianca: Hva er det?,Bianca: What is it?
70,Åse: Jeg lærer blant annet om økonomi og administrasjon.,"Åse: I learn, among other things, about finance and administration."
71,Bianca: Så bra. Lykke til!,Bianca: So good.Good luck!
