,NO,EN
0,BARNEHAGE OG GRUNNSKOLE,Kindergarten and primary school
1,Barnehage,Kindergarten
2,"Fra barn er ca. 1 år gamle, kan de gå i barnehage. ","From children, approx.1 year old, they can go to kindergarten."
3,"Når barna går i barnehage, kan begge foreldrene jobbe, og barna kan leke og lære sammen med andre barn.","When the children attend kindergarten, both parents can work, and the children can play and learn with other children."
4,Over 90 prosent av barn mellom 1 og 5 år går i barnehage.,Over 90 per cent of children between the ages of 1 and 5 attend kindergarten.
5,Hei. Jeg heter Dima.,Hello.My name is Dima.
6,Jeg er fem år og går i barne- hagen. ,I am five years old and go to the children's garden.
7,Jeg har mange venner der.,I have many friends there.
8,Den beste vennen min heter Kristian. ,My best friend is called Kristian.
9,Han er snill. Vi er kjærester.,He is kind.We are a couple.
10,I barnehagen liker jeg best å leke inne. ,In kindergarten I like to play inside.
11,I samlingsstunden synger vi mange fine sanger.,At the time of gathering we sing many nice songs.
12,VINTEREN ER HER!,Winter is here!
13,HUSK VARME KLÆR: ,Remember warm clothes:
14,Ullundertøy,Woolen underwear
15,Ullstrømpebukse og ullgenser,Wool tights and wool sweaters
16,Ullsokker,Woolen socks
17,"Hals og lue, eller lue med hals","Neck and hat, or hat with neck"
18,"Votter, to par Utedress med fôr","Mittens, two pairs of outdoor suits with feed"
19,"Goretex-støvler, eller andre varme vinterstøvler som tåler vann","Goretex boots, or other warm winter boots that can withstand water"
20,Grunnskolen,Primary school
21,Barna går sju år på barneskole og tre år på ungdomsskole. ,The children attend seven years at primary school and three years at secondary school.
22,Alle barn må gå ti år på skolen. ,All children must go to school ten years.
23,Grunnskolen er obligatorisk og gratis. ,Primary school is compulsory and free.
24,Før og etter skoletimene kan elever fra 1. til 4. trinn gå på SFO (skolefritidsordningen). ,"Before and after school hours, students from 1st to 4th grade can attend the SFO (school leisure scheme)."
25,Noen steder kaller de SFO for Aktivitetsskolen (AKS).,In some places they call SFO the Activity School (AKS).
26,Jeg heter Omar og går i tredje klasse. ,My name is Omar and goes in third grade.
27,Jeg liker meg godt på skolen.,I like school.
28,Jeg liker best matematikk og gym.,I like the best math and gym.
29,Norsk er litt vanskelig.,Norwegian is a little difficult.
30,Etter skolen går jeg på SFO. Det er gøy. ,After school I go to SFO.It is fun.
31,Vi spiller fotball i skolegården.,We play football in the school yard.
32,Vi har også en lærer som hjelper oss med leksene.,We also have a teacher who helps us with the homework.
33,FORELDREMØTE,PARENT MEETING
34,Både skole og barnehage ønsker å samarbeide med foreldrene. ,Both school and kindergarten want to work with the parents.
35,Derfor har de foreldremøter og samtaler med foreldrene. ,"Therefore, they have parent meetings and conversations with their parents."
36,Nå har Samira og Karim fått innkalling til foreldremøte på skolen.,Now Samira and Karim have been summoned to a parent meeting at the school.
37,Jobber du torsdag kveld?,Do you work on Thursday night?
38,Nei. Torsdag jobber jeg om formiddagen.,No.Thursday I work in the morning.
39,Fint. Det er foreldremøte på skolen da.,Fine.There is a parent meeting at the school then.
40,Kan ikke du gå? Du er flinkere enn meg til å snakke norsk.,Can't you go?You are better than me to speak Norwegian.
41,"Det tror jeg ikke, og du forstår mer enn meg.","I don't think so, and you understand more than me."
42,Kan vi ikke være hjemme?,Can't we be home?
43,"Nei, det er best at vi går. ","No, it's best that we go."
44,Kontaktlæreren sier at det er viktig at foreldrene kommer. ,The contact teacher says it is important that the parents come.
45,Dessuten kan vi treffe noen av de andre foreldrene der.,"Also, we can meet some of the other parents there."
46,"Ok, hvem går?","OK, who's going?"
47,Vi kan gå sammen. To forstår mer enn én.,We can go together.Two understand more than one.
48,Men hva med barna? ,But what about the kids?
49,"Hvis du går på foreldremøtet, kan jeg passe barna.","If you attend the parent meeting, I can look after the kids."
50,Naboen har sagt at hun kan passe dem. ,The neighbor has said she can fit them.
51,Jeg har snakket med henne.,I've talked to her.
52,Ok. Jeg skjønner at du har bestemt deg. ,OK.I realize you've decided.
53,Da leser jeg om foreldremøter på nettet. ,Then I read about parent meetings online.
54,Kanskje forstår jeg mer på møtet hvis jeg har lest litt først.,Maybe I understand more about the meeting if I read a little first.
55,God idé.,Good idea.
56,INNKALLING TIL FORELDREMØTE,Notice of parent meeting
57,Tid: Tor. 16. november klokka 18.00 Sted: Rom 43,Time: Tor.November 16 at 18.00 Place: Room 43
58,Saker: ,Things:
59,"Hjalmar & Kanten, distr. strandcomics.no","Hjalmar & Kanten, Distr.Strandcomics.no"
60,"Barnehage, skole og utdanning","Kindergarten, school and education"
61,"Bruk av mobiltelefon på skolen, nye regler ","Use of mobile phone at school, new rules"
62,Leksehjelp og lekser hjemme,Homework help and homework at home
63,Samarbeid mellom hjem og skole,Collaboration between home and school
64,"Marie skal flytte, og vi må velge ny klassekontakt Eventuelt",Marie is going to move and we have to choose new class contact possibly
65,Vi håper alle kan komme.,We hope everyone can come.
66,Vennlig hilsen Bjørn Dahl (kontaktlærer ),"Sincerely, Bjørn Dahl (contact teacher)"
67,Vi kommer / kommer ikke på møtet.,We do not come to the meeting.
68,VIDEREGÅENDE SKOLE,HIGH SCHOOL
69,"Videregående skole er ikke obligatorisk, men alle har rett til en plass i videregående skole, og det koster ikke noe å gå på skolen. ","High school is not compulsory, but everyone is entitled to a place in high school, and it costs nothing to go to school."
70,Nesten alle begynner på videregående skole.,Almost everyone starts high school.
71,Det er mange utdanningsprogrammer å velge mellom. ,There are many educational programs to choose from.
72,Noen programmer gir yrkesfaglig opplæring. Da kan man få utdanning til et praktisk yrke. ,Some programs provide vocational training.Then you can get education for a practical profession.
73,Vanligvis går man to år på skolen og to år i lære i en bedrift. ,Usually you spend two years at school and two years of learning in a company.
74,"Etterpå kan man begynne å arbeide i yrket sitt, og man kan ta fagbrev eller svennebrev.","Afterwards, you can start working in your profession, and you can take a professional letter or letter of swan."
75,Noen utdanningsprogrammer er studieforberedende. ,Some educational programs are study preparation.
76,Etter tre år på skolen og bestått eksamen har man generell studie- kompetanse. ,"After three years at the school and passed the exam, you have general study competence."
77,"Da kan man studere på universitet eller høyskole og bli tannlege, advokat, lege, lærer osv.","Then you can study at university or college and become a dentist, lawyer, doctor, teacher, etc."
78,TOBIAS MÅ VELGE,Tobias must choose
79,Tobias går i tiende klasse på ungdomsskolen. ,Tobias is in tenth grade at secondary school.
80,Nå må han velge hva slags videregående opplæring han vil søke på.,Now he has to choose what kind of higher education he wants to apply for.
81,I neste uke må jeg bestemme hva slags utdanningsprogram jeg vil søke på. ,Next week I have to decide what kind of educational program I want to apply for.
82,Det er ikke så lett.,It's not that easy.
83,Men skal du ikke bli ingeniør? Da bør du vel ta studieforberedende? ,But shouldn't you become an engineer?Then you should take study preparation?
84,Pappa sier det. Men jeg har ikke lyst til å studere. ,Dad says so.But I don't want to study.
85,Jeg liker bedre å gjøre ting enn å lese om dem.,I like to do things better than reading about them.
86,Har du snakket med rådgiveren?,Have you talked to the counselor?
87,"Ja, og hun sier at vi må tenke på hvor vi har lyst til å være om ti år.","Yes, and she says we have to think about where we want to be in ten years."
88,Og hva har du lyst til gjøre om ti år?,And what do you want to do in ten years?
89,Da har jeg lyst til å arbeide med noe praktisk. ,Then I want to work with something practical.
90,"Bygge ting. Jeg liker å lage ting. Ja, du er flink med hendene.","Build things.I like to make things.Yes, you are good with your hands."
91,Har du tenkt på en bestemt utdanning? ,Have you thought about a particular education?
92,Mm. Jeg har lyst til å søke på bygg- og anleggsteknikk. ,Mm.I want to apply for building and construction technology.
93,Da kan jeg for eksempel bli snekke eller tømrer. ,"Then, for example, I can become a joiner or a carpenter."
94,Det tror jeg er en fin jobb.,I think that is a great job.
95,Det høres fint ut. ,It sounds nice.
96,På foreldremøtet fortalte rådgiveren at det kommer til å være mange jobber innenfor yrkesfag i framtida.,"At the parent meeting, the advisor said that there will be many jobs in vocational subjects in the future."
97,"Ja, det har hun forklart i klassen også. ","Yes, she has explained that in the class as well."
98,Hun mener at bygg og anlegg er en god idé. ,She believes that construction and construction are a good idea.
99,Men tror du pappa blir skuffet hvis jeg velger yrkesfag? ,But do you think Dad will be disappointed if I choose vocational subjects?
100,Han vil at jeg skal bli ingeniør som ham.,He wants me to become an engineer like him.
101,Det skal du ikke tenke på. Det er ikke ditt problem. ,You should not think about that.That's not your problem.
102,Det viktigste er at du finner en utdanning og en jobb som du liker. ,The most important thing is that you find an education and a job that you like.
103,Dessuten kan du vel bygge videre på et fagbrev og få studiekompetanse senere hvis du får lyst til det?,"Besides, you can build on a professional letter and get study skills later if you want it?"
104,Ja da. Det går bra. Men nå er jeg glad. ,Yes.It goes well.But now I'm happy.
105,"Nå kan jeg søke bygg og anlegg. Tusen takk, mammal!","Now I can apply for construction.Thank you, Momal!"
106,Jeg må stikke. Ha det!,I gotta go.Good bye!
107,Tobias gir Åse en klem og løper av gårde.,Tobias gives Åse a hug and runs away.
108,Tømrer,Carpenter
109,En tømrer bygger og vedlikeholder hus. ,A carpenter builds and maintains houses.
110,Slik kan Tobias bli tømrer:,This is how Tobias can become a carpenter:
111,Han velger yrkesfaglig opplæring.,He chooses vocational education.
112,Det første året tar han bygg- og anleggsteknikk.,The first year he takes construction technique.
113,Året etter kan han velge byggteknikk.,The following year he can choose building technique.
114,Så følger to års opplæring i en bedrift.,Then follow two years of training in a company.
115,Etter det kan han ta svennebrev og er klar til å jobbe som tømrer.,After that he can take a letter of swan and is ready to work as a carpenter.
116,"Senere kan han også ta mesterbrev, hvis han vil det.","Later he can also take a master letter, if he wants to."
117,HØYERE UTDANNING,HIGHER EDUCATION
118,Vil du studere?,Do you want to study?
119,Norge har ti universiteter og mange høyskoler på ulike steder i landet. ,Norway has ten universities and many colleges in different places in the country.
120,Du finner mer informasjon om universiteter og høyskoler på regjeringen.no.,You can find more information about universities and colleges at regjeringen.no.
121,Krav,Claim
122,For å søke studieplass må man normalt ha generell studie- kompetanse ,"In order to apply for study space, one must normally have general study competence"
123,Noen studier krever at man har spesielle fag (for eksempel mate- matikk og fysikk) og gode resultater fra videregående skole.,Some studies require that you have special subjects (such as mate and physics) and good results from high school.
124,Hva koster det?,How much does it cost?
125,Det er gratis å studere ved universitetene og de offentlige høyskolene. ,It is free to study at the universities and public colleges.
126,Men man må betale en liten semesteravgift og kjøpe bøker og utstyr selv. ,But you have to pay a small semester fee and buy books and equipment yourself.
127,Ved de private høyskolene må man betale for å studere.,At the private colleges you have to pay to study.
128,Trenger du generell studiekompetanse?,Do you need general study skills?
129,"Voksne som trenger generell studiekompetanse, har mulighet til å få det ved å ta seks fag i løpet av et år på videregående skole. ",Adults who need general study skills have the opportunity to get it by taking six subjects during a year in high school.
130,Man kan også søke skole- eller studieplass ved å vise realkompetanse (se Fakta på neste side).,You can also apply for school or study space by showing real competence (see facts on the next page).
131,Er du interessert i fagskole eller mesterbrev?,Are you interested in vocational school or master letter?
132,"Når man har fagbrev i et yrkesfag, eller tilsvarende real- kompetanse, kan man få høyere utdanning i faget sitt på en fagskole. ","When you have a professional letter in a vocational subject, or equivalent real competence, you can get higher education in your subject at a vocational school."
133,Fagskoleutdanning varer fra et halvt år til to år. ,Vocational education lasts from six months to two years.
134,Ofte er det mulig å ta utdanningen mens man er i jobb.,Often it is possible to take the education while at work.
135,Det finnes både offentlige og private fagskoler. ,There are both public and private vocational schools.
136,Noen fag- skoler gir mulighet til å få mesterbrev.,Some subject schools provide the opportunity to get a master letter.
137,REALKOMPETANSE,Real competence
138,Realkompetanse er all kompetanse du har. ,Real competence is all the expertise you have.
139,"Både utdanning, lønnet og ulønnet arbeid gir kompetanse. ","Both education, paid and unpaid work provide competence."
140,"Også annen erfaring, som fritidsaktiviteter, organisasjonsarbeid, barnepass og ulike kurs, gir realkompetanse.","Other experience, such as leisure activities, organizational work, childcare and various courses, also provides real competence."
141,GODKJENNING AV UTDANNING FRA UTLANDET ,Approval of education from abroad
142,NOKUT (nokut.no) har ansvar for godkjenning av høyere utdanning fra utlandet og godkjenning av utenlandsk fag- og yrkesopplæring.,NOKUT (NOKUT.no) is responsible for approving higher education from abroad and approval of foreign vocational and vocational training.
143,"Leger, sykepleiere og annet helsepersonell søker om autorisasjon gjennom Helsedirektoratet:","Doctors, nurses and other health professionals apply for authorization through the Directorate of Health:"
144,NOEN YRKERI BARNEHAGEN OG SKOLEN,Some occupational kindergarten and school
145,Barnehageassistent,kindergarten assistant
146,Jobben er å aktivisere barna og gi dem en god og trygg dag i barnehagen. ,The job is to activate the children and give them a good and safe day in kindergarten.
147,"Du trenger ikke utdanning for å bli assistent i en barnehage, men du må ha gode norsk- kunnskaper og være glad i barn.","You do not need education to become an assistant in a kindergarten, but you must have good Norwegian knowledge and be fond of children."
148,Barnehagelærer,Kindergarten
149,For å bli barnehagelærer kan du ta tre års pedagogisk utdanning på høyskole eller universitet.,"To become a kindergarten teacher, you can take three years of educational education at college or university."
150,"Når du har barnehagelærer- utdanning, kan du også bli styrer i barnehagen.","When you have kindergarten teacher education, you can also become a board in kindergarten."
151,Styrer,Board
152,"Styreren har øverste ansvar for alt i barnehagen, både for ansatte og for barn.","The manager has the top responsibility for everything in kindergarten, both for employees and for children."
153,Skoleassistent,School assistant
154,En skoleassistent hjelper til i klasserommet eller på SFO. ,A school assistant helps in the classroom or SFO.
155,I grunnskolen arbeider ofte assistenten med elever som trenger ekstra hjelp. ,"In primary school, the assistant often works with students who need extra help."
156,Man trenger ikke spesiell utdanning for å få jobb,One does not need special education to get a job
157,"som assistent, men man må være flink med barn. ","As an assistant, but you have to be good at children."
158,Det er også mulig å ta ulike typer utdanning for å bli bedre kvalifisert til assistentjobben.,It is also possible to take different types of education to be better qualified for the assistant job.
159,Lærer,Teacher
160,Lærerutdanningen tar fem år og er en kombinasjon av pedagogisk og faglig opp- læring.,Teacher education takes five years and is a combination of educational and academic education.
161,En lærer kan også spesialisere seg og bli faglæ i besteme fag.,A teacher can also specialize and become a subject in determined subjects.
162,Rådgiver,Adviser
163,En rådgiver skal hjelpe elevene å bli kjent med ulike typer utdanning og gi råd og hjelp til å finne riktig utdanning.,An advisor should help students get to know different types of education and advise and help to find the right education.
164,En rådgiver kan være spesialedagog og hjelpe elever som har spesielle behov.,An advisor can be a special day and help students who have special needs.
165,Rektor har øverste ansvarfor alt på skolen. ,The principal has the top responsibility for everything at school.
166,"Rektor har vanligvis lærerutdanning, og mange har i tillegg utdanning i ledelse.","The principal usually has teacher education, and many also have education in management."
167,Helsesøster,School nurse
168,"Iskolehelsetjenestenkanbarn Dutrengeringenformell og unge snakke med helsesøster om fysiske, psykiske og sosiale problemer. ","Ice School Health Service Channel Duringen formula and young people talk to health nurse about physical, mental and social problems."
169,Helsesøster er vanligvis utdannet sykepleier med spesialisering som helsesøster. ,Health sister is usually a trained nurse specializing as a health nurse.
170,Helsesøster har taushetsplikt.,Health sister has a duty of confidentiality.
171,Vaktmester,Janitor
172,"Du trenger ingen formell utdanning for å være vakt mester, men du må være praktisk, slik at du kan ta ansvar for daglig vedlikehold. ","You do not need a formal education to be guarded, but you must be practical so that you can take responsibility for daily maintenance."
173,Det er også mulig å ta yrkesfaglig utdanning og ulike kurs.,It is also possible to take vocational education and various courses.
