,NO,EN
0,KUNDEN HAR ALLTID RETT,Customer is always right
1,Karim er språkpraktikant og jobber sammen med Teresa i resepsjonen. ,Karim is a language practitioner and works with Teresa at the reception.
2,Han hilser på gjestene og hjelper dem. ,He greets the guests and helps them.
3,"Noen skal sjekke inn, andre skal sjekke ut. ","Some should check in, others should check out."
4,"Det går ganske bra, men Karim er usikker og har mye å lære. ","It goes pretty well, but Karim is insecure and has a lot to learn."
5,Han blir stresset når det er mange gjester. ,He is stressed when there are many guests.
6,En irritert gjest står i resepsjonen og venter.,An annoyed guest is at the reception waiting.
7,Mitt navn er Dalen. Øystein Dalen. ,My name is the valley.Øystein Dalen.
8,Jeg har bestilt rom.,I have booked a room.
9,Velkommen. Et lite øyeblikk.,Welcome.A moment.
10,"Hvordan skriver du etternavnet, med eller uten h?","How do you write the last name, with or without H?"
11,Dalen rett fram.,The valley straight ahead.
12,"Nei, jeg finner ikke navnet ditt her. ","No, I can't find your name here."
13,Du har ikke bestilt rom hos oss.,You have not booked a room with us.
14,"Unnskyld, men kanskje du har et referansenummer eller en bekreftelse? ","Excuse me, but maybe you have a reference number or confirmation?"
15,Da kan vi finne bestillingen din. ,Then we can find your order.
16,Kan dere ikke bare gi meg et rom?,Can't you just give me a room?
17,Jeg beklager. Det er dessverre helt fullt.,"I'm sorry.Unfortunately, it is completely full."
18,Ha! Her har jeg funnet bekreftelsen på telefonen min.,Have!Here I found the confirmation on my phone.
19,Bra. Skal vi se. ,Good.Lets see.
20,"Der har vi forklaringen, ja. ","There we have the explanation, yes."
21,Du har bestilt rom på Skippergården. ,You have booked a room at Skippergården.
22,Det er like i nærheten. ,It is close.
23,Jeg skal vise deg. ,I will show you.
24,Det er lett å ta feil.,It's easy to be wrong.
25,"Hva, er ikke dette Skippergården? ","What, isn't this Skippergården?"
26,Hvorfor sa dere ikke det med en gang! For en service!,Why didn't you say it right away!What a service!
27,Og dessuten: Klokka på veggen der borte går feil. ,And besides: The clock on the wall over there goes wrong.
28,Nå er klokka kvart over ti. For et hotell!,Now it is a quarter past ten.What a hotel!
29,Etterpå:,Afterwards:
30,"Takk for hjelpen, Teresa. ","Thanks for the help, Teresa."
31,Jeg har lært mye i dag. ,I've learned a lot today.
32,Så fint! Jeg synes du klarer deg bra. Og gjesten har rett.,That's nice!I think you are doing well.And the guest is right.
33,Å? Klokka på veggen går feil. ,Oh?The clock on the wall goes wrong.
34,Det må vi fikse. Men nå har jeg lyst på en kopp te.,We must fix that.But now I want a cup of tea.
35,Hva sier du til det? Det fikser jeg. ,What do you say to that?I fix that.
36,Et øyeblikk.,A moment.
37,HVA HAR SKJEDD?,WHAT HAPPENED?
38,"Karim går for å hente te, og Teresa ser på klokka på veggen. ","Karim goes to pick up tea, and Teresa looks at the clock on the wall."
39,"Hun klatrer opp på en høy stol, men mister balansen og faller. ","She climbs to a tall chair, but loses balance and falls."
40,Karim kommer tilbake med to kopper te. ,Karim comes back with two cups of tea.
41,Han ser at Teresa ligger på gulvet.,He sees that Teresa is on the floor.
42,"Hva har skjedd, Teresa?","What happened, Teresa?"
43,"Jeg klatret opp på en stol for å ta ned klokka, og så falt jeg.","I climbed onto a chair to take down the clock, and then I fell."
44,Har du slått deg?,Have you beaten yourself?
45,"Ja, det gjør veldig vondt i skulderen.","Yes, it hurts the shoulder."
46,Ligg stille. Du må på legevakten.,Lay still.You have to go to the emergency room.
47,Der kommer Nikos.,There comes Nikos.
48,Hva har skjedd?,What happened?
49,Teresa har skadet seg.,Teresa has been injured.
50,"Stakkars deg, Teresa. Hvordan skjedde det?","Poor you, Teresa.How did it happen?"
51,Klokka på veggen gikk feil. ,The clock on the wall went wrong.
52,"Jeg tok en stol, men så ...","I took a chair, but then ..."
53,"Huff, jeg føler meg så dum.","Huff, I feel so stupid."
54,"Nei, nei, du er ikke dum. ","No, no, you're not stupid."
55,Jeg ringer til legevakten.,I call the emergency room.
56,Det er legevakten.,That's the emergency room.
57,"Hei, jeg heter Nikos Papadakis og ringer fra Solvåg hotell. ","Hi, my name is Nikos Papadakis and rings from Solvåg Hotel."
58,En kollega har falt ned fra en høy stol. ,A colleague has fallen from a tall chair.
59,Jeg tror at hun har brukket skulderen.,I think she has broken her shoulder.
60,Det gjør veldig vondt.,It hurts very much.
61,"Hvis hun kan komme hit, kan vi se på henne.","If she can come here, we can look at her."
62,Fint. Vi kommer med en gang.,Fine.We come right away.
63,Legevakten sier at vi kan komme med en gang. ,The emergency room says we can come right away.
64,Jeg ringer etter taxi. ,I call for taxi.
65,"Kan du gi beskjed til Latisha, Karim?","Can you notify Latisha, Karim?"
66,"Ja, det skal jeg gjøre.","Yes, I will do that."
