,NO,EN
0,5.1) MANDAG MORGEN,5.1) Monday morning
1,Øyvind er kokk på Solvåg hotell. ,Øyvind is a chef at Solvåg Hotel.
2,"Det er mandag morgen, og han skal på jobb. ",It's Monday morning and he's going to work.
3,Klokka er kvart på sju. ,It is a quarter of seven.
4,Han står opp og tar en dusj.,He gets up and takes a shower.
5,Øyvind er gift. ,Øyvind is married.
6,Kona heter Jolanta. ,The wife is called Jolanta.
7,Hun jobber i en butikk.,She works in a shop.
8,"De har to barn, ei datter og en sønn.","They have two children, one daughter and a son."
9,Sønnen er fire år. ,The son is four years old.
10,Han heter Matias og går i barnehagen.,His name is Matias and goes to kindergarten.
11,Dattera heter Sara. ,Daughter is called Sara.
12,Hun er tolv år og går på skolen. ,She is twelve years old and goes to school.
13,De har også en hund. Den er to år og heter Tinka.,They also have a dog.It is two years and is called Tinka.
14,mora,mother
15,mannen,man
16,søstera,sister
17,broren,brother
18,faren,danger
19,barna,kids
20,foreldrene,parents
21,kona/konen,the wife/wife
22,"mora/moren,","The mother/mother,"
23,"søstera/søsteren, ","The sister/sister,"
24,dattera/datteren,Daughter/Daughter
25,5.2) YVIND LAGER FROKOST,5.2) Yvind makes breakfast
26,Øyvind er på kjøkkenet og lager frokost.,Øyvind is in the kitchen and makes breakfast.
27,Han er i godt humør og synger litt.,He is in a good mood and sings a little.
28,"Ofte begynner han tidlig på jobben, ","Often he starts early at work,"
29,men idag skal ham begynne klokka halv ni. ,But today he will start at half past nine.
30,Derfor har han tid til å lage en god frokost till Jolanta og barna.,That's why he has time to make a good breakfast for Jolanta and the kids.
31,"Familien sover, men nå må de snart stã opp.","The family is sleeping, but now they have to get up soon."
32,Han lager kaffe og steker egg og bacon.,He makes coffee and fries eggs and bacon.
33,Sara og Matias kommer inn på kjøkkenet. ,Sara and Matias come into the kitchen.
34,De gjesper.,They yawn.
35,Oyvind smiler til dem.,Oyvind smiles at them.
36,Øyvind: God morgen.,Øyvind: Good morning.
37,"Sara: God morgen. Å, jeg er så trøtt.",Sara: Good morning.Oh I am so tired.
38,Jeg vil ikke på skolen i dag.,I don't want to school today.
39,Øyvind: Jo da. Nå skal du få frokost. ,Øyvind: Yes.Now you will have breakfast.
40,Sara: Jeg er ikke sulten. Hva lager du?,Sara: I'm not hungry.What are you making?
41,Opind: Jeg steker egg og bacon.,Opind: I fry eggs and bacon.
42,Sara: Mm. Egg! Det vil jeg ha!,Sara: mm.Egg!I want that!
43,Øyvind: Det er bra.,Øyvind: It's good.
44,"Matias: Jeg er sulten, pappa. Og tørst. ","Matias: I'm hungry, dad.And thirsty."
45,"Øyvind: Et øyeblikk, Matias. Vent litt. ","Øyvind: A moment, Matias.Wait."
46,"Her er et egg, litt melk og ei brødskive med ost.","Here is an egg, a little milk and a slice of bread with cheese."
47,"Matias: Nei, ikke ost. Jeg vil ha syltetøy.","Matias: No, not cheese.I want jam."
48,"Øyvind: Jeg vil ha, jeg vil ha!","Øyvind: I want, I want!"
49,Du spiser for mye syltetøy,You eat too much jam
50,"Sara, vil du ha mer mat?","Sara, do you want more food?"
51,Sara: Nei takk. Nå er jeg mett.,Sara: No thanks.Now I am full.
52,"Jolanta: God morgen, alle sammen.","Jolanta: Good morning, everyone."
53,Er kaffen ferdig?,Is the coffee done?
54,Øyvind: Den er snart ferdig. Har du lyst på egg og bacon?,Øyvind: It's done soon.Do you want eggs and bacon?
55,"Jolanta: Nei, det er for tidlig. Jeg tar bare et knekkebrød med brunost.","Jolanta: No, it's too early.I just take a crispbread with brown cheese."
56,Og kaffe! Mye kaffe!,And coffee!Lots of coffee!
57,"Hva spiser Sara, Matias og Jolanta til frokost? Hva drikker de?","What do Sara, Matias and Jolanta eat for breakfast?What do they drink?"
58,5.3) HVOR ER SEKKEN?,5.3) Where is the bag?
59,Sara skal på skolen. ,Sara is going to school.
60,Hun går på badet og pusser tennene.,She goes to the bathroom and brushes her teeth.
61,Han tar på seg jakke og sko. ,He wears jacket and shoes.
62,Men hvor er sekken?,But where is the bag?
63,"Sara: Mamma, hvor er sekken?","Sara: Mom, where is the bag?"
64,Jolanta: Den står under stolen. ,Jolanta: It stands under the chair.
65,Sara: Og hvor er eplet?,Sara: And where is the apple?
66,Jolanta: Det ligger i sekken. Og matpakka ligger på bordet.,Jolanta: It's in the bag.And the lunch is on the table.
67,Sara: Hva er det i matpakka?,Sara: What is it in the lunch box?
68,Jolanta: To skiver med leverpostei og ost.,Jolanta: Two slices of liver pie and cheese.
69,Men nå må du dra.,But now you have to go.
70,"Skolen begynner snart, og du er alltid så sen.",School begins soon and you are always so late.
71,Sara: Jeg må børste håret først.,Sara: I have to brush my hair first.
72,Jolanta: Skal jeg hjelpe deg?,Jolanta: Should I help you?
73,"Sara: Nei, du kan ikke børste håret, mamma.","Sara: No, you can't brush your hair, mom."
74,"Øyvind:  Sara, hvor er du? Vi har dårlig tid.","Øyvind: Sara, where are you?We have bad time."
75,Klokka er ti over åtte. Bussen går snart.,It is ten more than eight.Bus leaves soon.
76,"Ikke mas, Øyvind. Nå kommer hun.","Not Mas, Øyvind.Now she comes."
77,Men hvor er Matias?,But where is Matias?
78,5.4) DE HAR DET TRAVELT,5.4) They are in a hurry
79,"Det er mandag morgen, og familien har det travelt.","It's Monday morning, and the family is in a hurry."
80,Sara kler på seg og børster håret.,Sara dresses and brushes her hair.
81,Så går hun og Øyvind sammen til bussen.,Then she and Øyvind go together to the bus.
82,"Øyvind skal på jobb, og Sara skal på skolen.","Øyvind is going to work, and Sara is going to school."
83,Jolanta begynner på jobben klokka ni.,Jolanta starts at work at nine.
84,Hun har tid til å rydde på kjøkkenet etter frokosten.,She has time to clear the kitchen after breakfast.
85,Pålegget og melka setter hun i kjøleskapet.,She puts in the refrigerator and milk.
86,Koppene og glassene setter hun i oppvaskmaskinen.,She puts the cups and glasses in the dishwasher.
87,Etterpå pusser hun tennene.,Afterwards she brushes her teeth.
88,Til slutt vasker hun Matias og kler på ham.,"Finally, she washes Matias and dresses at him."
89,"Hun kjører Matias til barnehagen, og så kjører hun til jobben.","She drives Matias to kindergarten, and then she drives to work."
90,. Hva ser dere på bildene? Hva gjør de?,..What do you see in the pictures?What did?
91,. Har dere det travelt om morgenen?,..Are you in a hurry in the morning?
92,• Hva gjør dere?,• What are you doing?
93,5.5) HJEMME IGJEN,5.5) Home again
94,Jolanta jobber i en matbutikk.,Jolanta works in a grocery store.
95,"Butikken ligger i et kjøpesenter, og det er mye å gjøre.",The store is located in a mall and there is a lot to do.
96,Etter jobben drar hun hjem og lager middag.,"After work, she goes home and makes dinner."
97,Sara kommer hjem fra skolen.,Sara comes home from school.
98,"Hun gjør lekser, og Jolanta hjelper henne.","She does homework, and Jolanta helps her."
99,Matias går i barnehagen.,Matias goes to kindergarten.
100,Noen ganger henter Jolanta ham. ,Sometimes Jolanta fetches him.
