,NO,EN
0,HVOR LIGGER LEILIGHETEN?,Where is the apartment located?
1,Teresa har fått lån i banken og har kjøpt seg leilighet.,Teresa has received a loan in the bank and has bought an apartment.
2,"Hun har malt dører og vinduer, men hun har fremdeles vondt i skulderen. ","She has painted doors and windows, but she still hurts her shoulder."
3,Derfor kan hun ikke løfte tunge ting. ,"Therefore, she cannot lift heavy things."
4,"Heldigvis har hun gode kolleger, ","Fortunately she has good colleagues,"
5,og både Øyvind og Nikos hjelper henne å flytte. ,And both Øyvind and Nikos help her move.
6,"Øyvind har bil med tilhenger, og sammen med Nikos kjører han møblene til den nye leiligheten. ","Øyvind has a car with a trailer, and together with Nikos he runs the furniture to the new apartment."
7,"Men hvor ligger den? De husker ikke adressen, så Øyvind ringer til Teresa.","But where is it?They don't remember the address, so Øyvind calls Teresa."
8,"Hei,det er Øyvind.","Hi, it's Øyvind."
9,Nå er Nikos og jeg på vei. ,Now Nikos and I are on my way.
10,Men vi har glemt hvor leiligheten ligger.,But we forgot where the apartment is.
11,Den ligger i Sigrid Bulls gate 14.,It is located in Sigrid Bulls gate 14.
12,Hvor er dere nå?,Where are you now?
13,VikjørernedSkolegata.,Vikjørernedskolegata.
14,Ok. Ta til høyre i Kirkegata.,OK.Turn right in Kirkegata.
15,Kjør rett fram til lyskrysset og ta til venstre. ,Drive straight to the traffic light and turn left.
16,Da er dere i Sigrid Bulls gate. ,Then you are in Sigrid Bulls gate.
17,"Leiligheten ligger på venstre side, ved siden av en liten bokhandel.","The apartment is on the left, next to a small bookstore."
18,Takk. Hvilken etasje bor du i?,Thanks.What floor do you live in?
19,5.(femte) etasje? Er det heis der?,5. (Fifth) floor?Is there a lift there?
20,"Nei, dessverre. Går det bra?",No Unfortunately.Is it going well?
21,"Ja,jeg håper det",Yes I hope so
22,SOFAEN ER FOR STOR,The couch is too big
23,Øyvind og Nikos bærer møblene opp til 5. etasje. ,Øyvind and Nikos carry the furniture up to the 5th floor.
24,"De bærer ei seng, en hvit og to brune kommoder, et lite bord og fire stoler. ","They carry a bed, a white and two brown dressers, a small table and four chairs."
25,"De bærer også en stor, gammel sofa. ","They also carry a large, old sofa."
26,"Den er veldig tung, og de må stoppe flere ganger. ",It is very heavy and they have to stop several times.
27,Endelig er de oppe.,"Finally, they are up."
28,"Tusen, tusen takk for hjelpen. Så flott!",Thank you very much for your help.So great!
29,Puh. Hvor skal vi sette sofaen?,Puh.Where should we put the couch?
30,"Foran vinduet, mellom døra og skapet.","In front of the window, between the door and the closet."
31,Men da får du ikke opp døra. ,But then you don't get the door.
32,"Sofaen er for stor. Å, nei!",The couch is too big.Oh no!
33,"Du må kjøpe en større leilighet, Teresa.Ha, ha.","You have to buy a larger apartment, teresa.ha, ha."
34,Eller en mindre sofa.,Or a smaller sofa.
35,Men jeg bærer den ikke ned igjen.,But I don't carry it down again.
36,Kanskje jeg kan selge den på Finn?,Maybe I can sell it on Finn?
37,"En god idé,men nå må jeg på jobb. Blir du med,Nikos?","A good idea, but now I have to go to work.Do you join, Nikos?"
38,"Nei,jeg har fri i dag. Jeg hjelper Teresa litt til.","No, I'm free today.I help Teresa a little more."
39,"Har du malt dørene,Teresa? Jeg liker fargen. ","Have you painted the doors, Teresa?I like the color."
40,"Ja, er de ikke fine? ","Yes, aren't they nice?"
41,Men nå har jeg tre tomme malingsbokser. ,But now I have three empty paint boxes.
42,Hvor kan jeg kaste dem? ,Where can I throw them?
43,De må på et leveringssted for farlig avfall.,They need to be at a hazardous waste delivery point.
44,"Jeg kjører forbi, så jeg kan ta dem med meg. ",I drive past so I can take them with me.
45,Takk skal du ha. Det er snilt av deg.,Thank you.That's nice of you.
46,KILDESORTERING,Sorting
47,Kildesortering betyr at vi sorterer avfallet vårt. ,Source sorting means that we sort our waste.
48,"Vi kaster ikke mat, plast, glass og papir i samme søppelpose. ","We do not throw food, plastic, glass and paper in the same garbage bag."
49,Mange av oss er likevel usikre. ,Many of us are still uncertain.
50,Hvor skal vi kaste batterier og malingsbokser?,Where should we throw batteries and paint boxes?
51,På sortere.no kan du lese om ulike typer avfall og hvor du skal kaste det.,At Sorte.no you can read about different types of waste and where to throw it.
52,HVILKEN AV DEM ER FINEST?,Which of them is the finest?
53,Nikos hjelper Teresa i leiligheten. ,Nikos helps Teresa in the apartment.
54,Hun sier hvor møblene skal stå. ,She says where the furniture should stand.
55,Han plasserer stolene og det lille bordet på kjøkkenet. ,He places the chairs and the small table in the kitchen.
56,"Den hvite kommoden setter han i gangen, og de brune kommodene bærer han inn på soverommet. ","He puts the white dresser in the hallway, and he carries the brown dressers into the bedroom."
57,Den store sofaen må Teresa selge.,The big couch must sell Teresa.
58,Teresa henter to øl til dem. ,Teresa fetches two beers for them.
59,Hun setter seg i den store sofaen. ,She sits on the big couch.
60,Nikos står litt usikker med ølboksen i hånda. ,Nikos stands a little uncertain with the beer box in his hand.
61,Kan han sette seg ved siden av Teresa i sofaen? ,Can he sit next to Teresa on the couch?
62,Synes hun at det blir for nært? ,Does she think it gets too close?
63,"Nei, det er kanskje tryggest å velge et annet sted. ","No, it may be safest to choose somewhere else."
64,Han setter seg på en stol.,He sits down on a chair.
65,"Morten, katten til Teresa, hopper opp og legger seg på fanget hans. ","Morten, Teresa's cat, jumps up and lies on his lap."
66,"Nikos liker ikke katter, men det sier han ikke til Teresa. ","Nikos does not like cats, but he does not say that to Teresa."
67,"Hun er sikkert veldig glad i katten sin.Liker du katter, Nikos?","She is probably very fond of her cat. Do you like cats, Nikos?"
68,Ja. Klart det. Det er bra.,Yes.Of course.It is good.
69,Leiligheten din er veldig fin. ,Your apartment is very nice.
70,Hvor stor er den?,How big is it?
71,"47 kvadratmeter.  Den gamle leiligheten var større, men denne er lysere.","47 square meters.The old apartment was larger, but this one is brighter."
72,Men jeg må få tak i en rørlegger.,But I have to get a plumber.
73,Hvorfor det?,Why?
74,Jeg trenger en ny vask på badet. ,I need a new sink in the bathroom.
75,Den gamle er litt ødelagt. ,The old one is a little broken.
76,Jeg håper at det ikke blir så dyrt.,I hope it doesn't get that expensive.
77,"Alt er dyrt i Norge, synes jeg, i alle fall dyrere enn i Hellas.","Everything is expensive in Norway, I think, at least more expensive than in Greece."
78,Savner du Hellas?,Do you miss Greece?
79,Noen ganger. Jeg savner vennene mine og familien min.,Sometimes.I miss my friends and my family.
80,Og maten? Jeg elsker gresk mat. Gjør du? Er det sant?,And the food?I love Greek food.Do you?Is it true?
81,"Ja, gresk mat er nydelig.","Yes, Greek food is lovely."
82,Men se her. Nå har jeg funnet to fine sofaer på nettet. ,But look here.Now I have found two nice sofas online.
83,De er mindre enn den jeg har.,They are less than the one I have.
84,"Få se! Ja, de er fine.","Get see!Yes, they are nice."
85,Hvilken av dem er finest? ,Which of them is the finest?
86,"Skal jeg velge den hvite, eller skal jeg ta den brune?","Should I choose the white, or should I take the brown?"
87,Den brune sofaen er kanskje mest praktisk. ,The brown couch is perhaps most convenient.
88,Hvilken er billigst? Den brune. Kanskje jeg tar den.,Which is the cheapest?The brown.Maybe I'll take it.
89,"Men først må du selge den gamle, ellers blir det fullt her.","But first you have to sell the old one, otherwise it will be full here."
90,GRILLFEST I BAKGÅRDEN,Barbecue in the backyard
91,Om kvelden går Nikos hjem. Han er i godt humør. ,"In the evening, Nikos goes home.He's in a good mood."
92,"Teresa liker gresk mat, og Nikos er ganske flink til å lage mat. ","Teresa likes Greek food, and Nikos is pretty good at cooking."
93,Kanskje han kan invitere henne på middag en dag?,Maybe he can invite her to dinner one day?
94,"Det er sommer og lyst ute, selv om det er sent. ","It's summer and bright outside, even though it's late."
95,"Han møter mange mennesker, og alle ser glade ut. ","He meets many people, and everyone looks happy."
96,"Sommeren er den fineste årstida i Norge, synes han.","Summer is the finest season in Norway, he thinks."
97,"Han går inn i bakgården, og der ser han mange barn og voksne fra blokka. ","He goes into the backyard, and there he sees many children and adults from the block."
