,NO,EN
0,JEG SKAL PÅ JOBB!,I AM GOING TO WORK!
1,Hei Adil. Fantastisk! I morgen skal jeg på jobb. ,Hi Adil.Fantastic!Tomorrow I'm going to work.
2,Jeg må stå opp klokka halv sju hvis jeg skal komme tidsnok.,I have to get up at half past seven if I'm going to get on time.
3,Men jeg gleder meg! Håper du også får en fin praksisplass.,But I'm looking forward!Hope you also get a nice internship.
4,søndag 21:30,Sunday 21:30
5,Takk for det. Jeg skal begynne i praksis om tre dager. ,Thanks for that.I'll start in practice in three days.
6,Jeg har sommerfugler i magen. Jeg gruer meg.,I have butterflies in my stomach.I dread.
7,Det er vanskelig å forstå norsk utenfor klasserommet.,It is difficult to understand Norwegian outside the classroom.
8,Men du har rett: Det er flott å få jobb. Ha en god dag på jobben!,But you are right: It's great to get a job.Have a good day at work!
9,søndag 21:37,Sunday 21:37
10,KARIM KOMMER TIL SOLVÅG,Karim comes to Solvåg
11,Deltakerne på norskkurset har fått tilbud om språkpraksis.,The participants in the Norwegian course have been offered language practice.
12,De kan jobbe to dager i uka på en arbeidsplass. ,They can work two days a week at a workplace.
13,Karim har fått praksisplass på Solvåg hotell. ,Karim has been given an internship at Solvåg Hotel.
14,Håkon kommer til hotellet sammen med Karim. ,Håkon comes to the hotel with Karim.
15,"De har en avtale med hotellsjefen, Latisha.","They have an agreement with the hotel manager, Latisha."
16,"Velkommen, Karim. Takk skal du ha..","Welcome, Karim.Thank you.."
17,Hyggelig at du vil jobbe hos oss. Fortell litt om deg selv. ,Nice that you want to work with us.Tell me about yourself.
18,Hva slags arbeidserfaring har du? I Syria var jeg mekaniker. ,What kind of work experience do you have?In Syria I was a mechanic.
19,Jeg jobbet på et bilverksted i mange år.,I worked at a car repair shop for many years.
20,Hvordan likte du det?,How did you like it?
21,Jeg likte jobben fordi jeg liker å mekke og fikse ting og de moderne bilene er spennende. ,I liked the job because I like to deal and fix things and the modern cars are exciting.
22,Jeg er interessert i elektronikk. Har du planer om å bli mekaniker her også?,I am interested in electronics.Do you plan to become a mechanic here too?
23,"Ja, jeg håper det. ",Yes I hope so.
24,"Hvis utdanningen min fra Syria blir godkjent her i Norge, håper jeg å få jobb som mekaniker. ","If my education from Syria is approved here in Norway, I hope to get a job as a mechanic."
25,Men først må jeg lære mer norsk. Nå er jobben min å lære språket. ,But first I have to learn more Norwegian.Now my job is to learn the language.
26,Derfor vil jeg gjerne ha praksis på en arbeidsplass.,"Therefore, I would like to have practice in a workplace."
27,Her på hotellet har vi mange typer jobber. ,Here at the hotel we have many types of jobs.
28,Jeg ønsker at språkpraktikantene kan jobbe alle steder.,I want the language practitioners to work everywhere.
29,Det er fint for meg. Jeg vil gjerne lære om alle typer jobber. ,That's nice for me.I would like to learn about all types of jobs.
30,Det er også fint å møte mange forskjellige mennesker.,It is also nice to meet many different people.
31,Bra. Jeg håper du kommer til å like deg her hos oss.,Good.I hope you will like you here with us.
32,Nå tar vi en tur rundt i hotellet og hilser på folk.,Now we take a walk around the hotel and greet people.
33,Karim snakker med Latisha. Det går bra.,Karim talks to Latisha.It goes well.
34,Håkon smiler til Karim. Han er også fornøyd.,Håkon smiles at Karim.He is also happy.
35,"Etterpå går Håkon tilbake til skolen, og Karim blir med Latisha rundt i hotellet.","Afterwards, Håkon goes back to school, and Karim joins Latisha around the hotel."
36,DEN NYE SPRÅKPRAKTIKANTEN,The new language practitioner
