,NO,EN
0,HVA GJORDE DU I HELGA?,What did you do this weekend?
1,"Det er mandag, og Åse er på jobb. ","It's Monday, and Åse is at work."
2,Hun begynte å arbeide klokka sju. ,She started working at seven.
3,"Nå er klokka halv elleve, og hun har lyst på en kopp kaffe. ","Now it is half past eleven, and she wants a cup of coffee."
4,Hun går inn på pauserommet. ,She goes into the break room.
5,Der treffer hun Teresa.,There she meets Teresa.
6,"Hei, Åse. Hvordan går det?","Hi, Åse.How are you?"
7,"Bra, takk. Men det er mye å gjøre i dag. ",Good thanks.But there is a lot to do today.
8,Nå gleder jeg meg til å få ferie. ,Now I'm looking forward to getting a vacation.
9,Er det ikke deilig vær!,Isn't it nice weather!
10,"Jo, det er godt med litt varme. ","Yes, it's good with a little heat."
11,Hadde du en fin helg?,Did you have a nice weekend?
12,"Ja, veldig. Jeg vasket litt tøy og laget middag. ",Yes very.I washed some clothes and made dinner.
13,Ellers satt jeg under en parasoll på balkongen. ,"Otherwise, I sat under a parasol on the balcony."
14,Jeg drakk iste og arbeidet med studiene mine.,I drank Iste and worked with my studies.
15,"Og du da, hadde du det fint?","And you then, were you fine?"
16,Absolutt. Lørdag dro jeg til byen for å kjøpe nye sandaler. ,Absolutely.On Saturday I went to town to buy new sandals.
17,"På torget var det en flott konsert, ","In the square there was a great concert,"
18,og jeg satt på en fortauskafé og spiste is og drakk espresso.,And I sat on a curb cafe and ate ice cream and drank espresso.
19,I går spiste jeg middag hos mamma.,Yesterday I had dinner with my mom.
20,Så hyggelig.,So nice.
21,HVOR JOBBET DU FØR?,Where did you work before?
22,Nikos kommer inn på pauserommet. ,Nikos enters the break room.
23,Han tar en kopp kaffe og setter seg ned. ,He takes a cup of coffee and sits down.
24,Han hører på Åse og Teresa.,He listens to Åse and Teresa.
25,Dere er jammen heldige! ,You are lucky!
26,Jeg jobbet hele helga. Fra morgen til kveld. ,I worked all weekend.From morning to evening.
27,"En av servitørene var syk, og jeg jobbet ekstra. ",One of the waiters was sick and I worked extra.
28,I går jobbet jeg i ti timer. ,Yesterday I worked for ten hours.
29,Det var ganske slitsomt. ,It was pretty tiring.
30,Jeg har ikke så mye erfaring som servitør.,I don't have as much experience as a waiter.
31,Hva arbeidet du med før?,What did you work with before?
32,I Hellas jobbet jeg i en bank. ,In Greece I worked in a bank.
33,Jeg snakket med kundene om lån. ,I talked to customers about loans.
34,Men den første jobben min var å plukke oliven. ,But my first job was to pick olives.
35,Da var jeg 12 år.,Then I was 12 years old.
36,"Når begynte du å jobbe som renholder her på hotellet, Åse?","When did you start working as a cleaner here at the hotel, Åse?"
37,For nesten 15 år siden.,Almost 15 years ago.
38,Hva gjorde du før?,What did you do before?
39,"Å, mye forskjellig.","Oh, much different."
40,Etter skolen reiste jeg som au pair til USA.,"After school, I traveled like au pair to the United States."
41,Jeg bodde hos en familie. ,I lived with a family.
42,Jeg passet barna og gjorde litt husarbeid og sånt.,I looked after the kids and did some housework and stuff.
43,Hvordan likte du det?,How did you like it?
44,Det var fint. ,That was nice.
45,Det var spennende å komme til et annet land og en annen kultur.,It was exciting to come to another country and another culture.
46,Mora mi var faktisk au pair her i Norge. ,My mother was actually au pair here in Norway.
47,Hun likte det godt. ,She liked it.
48,Jobbet du lenge i USA?,Did you work in the US for a long time?
49,I to år. ,For two years.
50,Etterpå reiste jeg rundt i verden og hadde forskjellige jobber. ,Afterwards I traveled around the world and had different jobs.
51,I noen år bodde jeg i Spania og levde av å tegne portretter av folk på gata.,For a few years I lived in Spain and lived by drawing portraits of people on the street.
52,Er det sant! Så spennende.,Is it true!So exciting.
53,Hvorfor flyttet du tilbake til Norge?,Why did you move back to Norway?
54,"Vel, jeg traff en norsk mann i Spania og ble forelsket i ham. ","Well, I met a Norwegian man in Spain and fell in love with him."
55,"Jeg ble gravid, og vi giftet oss i Barcelona. ",I got pregnant and we got married in Barcelona.
56,"Så fikk han jobb her i landet, og da flyttet vi hjem.","Then he got a job in this country, and then we moved home."
57,Men nå må jeg tilbake til støvsugeren! Vi ses!,But now I have to go back to the vacuum cleaner!See you later!
58,Åse og Teresa snakker sammen på pauserommet. ,Åse and Teresa talk together in the break room.
59,De hadde fri fra jobben i helga og koste seg.,They were free from work this weekend and enjoyed themselves.
60,Nikos jobbet. Han jobbet ekstra fordi en av servitørene var syk. ,Nikos worked.He worked extra because one of the waiters was sick.
61,"Nå er det mandag, og han er sliten. ","Now it's Monday, and he's tired."
62,Han kommer til pauserommet for å slappe av litt. ,He comes to the break room to relax a little.
63,"Der treffer han Åse og Teresa, og de snakker om jobbene sine. ","There he meets Åse and Teresa, and they talk about his jobs."
64,"Åse må gå tilbake til jobben, men Nikos vil gjerne snakke mer med Teresa.","Åse has to go back to work, but Nikos would like to talk more with Teresa."
65,TERESAS HISTORIE,Teresa's story
66,Nikos og Teresa prater sammen på pauserommet.,Nikos and Teresa talk together in the break room.
67,Når var mora di au pair her i landet?,When was your mother au pair in this country?
68,For omtrent tjue år siden.,About twenty years ago.
69,"Hun er jordmor, men hun fikk ikke jobb på Filippinene. ","She is a midwife, but she did not get a job in the Philippines."
70,Derfor dro hun hit som au pair.,That's why she went here like au pair.
71,Men hva med deg? Hvor var du?,But what about you?Where were you?
72,Jeg bodde hos bestemor på Filippinene.,I stayed with Grandma in the Philippines.
73,Savnet du ikke mora di?,Didn't you miss your mother?
74,"Å jo, det gjorde jeg. ","Oh yeah, I did."
75,"Vi hadde ikke Skype da, men hun ringte en dag i uka. ","We didn't have Skype then, but she called one day a week."
76,Jeg ventet og ventet på telefon.,I waited and waited for the phone.
77,Men det var vanskelig å snakke med henne. ,But it was difficult to talk to her.
78,Hun var så langt borte. ,She was so far away.
79,Derfor gråt jeg alltid i telefonen.,That's why I always cried on the phone.
80,Stakkars deg!,Poor you!
81,Nei da. Det gikk bra. ,No then.It went well.
82,"Bestemor var snill, og jeg hadde onkler og tanter og fettere og kusiner.","Grandma was kind, and I had uncles and aunts and cousins and cousins."
83,Men likevel. Hva skjedde så? Hvordan kom du hit?,But still.What happened?How did you get here?
84,"Mamma traff en nordmann, Rune, og giftet seg med ham. ","Mom met a Norwegian, Rune, and married him."
85,Så søkte de om familiegjenforening for meg.,Then they applied for family reunification for me.
86,Hvor gammel var du da?,How old were you then?
87,Jeg var nesten 9 år. ,I was almost 9 years old.
88,"Jeg kom hit i mai, og 1 august begynte jeg i fjerde klasse.","I came here in May, and August 1st I started in fourth grade."
89,Hvordan var det?,How was it?
90,Jeg skjønte ikke så mye i begynnelsen. ,I didn't understand that much in the beginning.
91,"Men både stefaren min og mamma hjalp meg, og jeg lærte heldigvis fort. ","But both my stepfather and mom helped me, and I luckily learned quickly."
92,"Stefaren min tok meg med til biblioteket, og vi leste massevis av barnebøker.","My stepfather took me to the library, and we read lots of children's books."
93,"Etter en stund fikk jeg ei venninne i klassen,","After a while I got a girlfriend in the class,"
94,og da gikk det fint.,And then it went well.
95,Bor mora di her nå?,Does your mother live here now?
96,Ja da. Hun jobber som jordmor. ,Yes.She works as a midwife.
97,"Stefaren min døde dessverre i fjor, og hun er enke. ","Unfortunately, my stepfather died last year, and she is a widow."
98,Men hun klarer seg fint.,But she is doing well.
99,Teresa bodde hos bestemora si på Filippinene. ,Teresa lived with Grandma say in the Philippines.
100,Mora hennes jobbet som au pair i Norge fordi det var vanskelig å få jobb på Filippinene. ,Her mother worked as an au pair in Norway because it was difficult to get a job in the Philippines.
101,"Teresa hadde det bra hos familien sin, men hun savnet mora. ","Teresa was doing well with her family, but she missed her mother."
102,"Senere giftet mora til Teresa seg i Norge,","Later, Teresa's mother married in Norway,"
103,og etter en stund kom Teresa også hit. ,"And after a while, Teresa also came here."
104,Hun lærte heldigvis norsk fort.,"Fortunately, she learned Norwegian fort."
105,Au pair er fransk. (Vi sier å pær.) ,Au pair is French.(We say to pear.)
106,En au pair bor hos en fam et fremmed land. ,An au pair lives with a fam a foreign country.
107,"Hun eller han får mat og lommepenger hjelper med arbeidet i familien, ","She or he gets food and pocket money helps with the work of the family,"
108,vanligvis barnepass og lett husarbeid. ,Usually childcare and light housework.
109,Au pairen og familien må skrive under på en kontrakt. ,The au pair and family must sign a contract.
110,"Kontrakten forteller om lommepenger, arbeids og andre forhold.","The contract talks about pocket money, work and other matters."
111,I Norge skal en au pair ikke jobbe mer enn 30 timer per uke,"In Norway, an au pair should not work more than 30 hours per week"
112,Vertsfamilien skal betale lommepenger og norskkurs.,The host family will pay pocket money and Norwegian courses.
113,Familiegjenforening eller familieinnvandring,Family reunion or family immigration
114,En person med opphold i Norge kan etter bestemte regler familien sin hit.,"A person with a stay in Norway can, according to certain rules, their family here."
115,FAKTA,FACTS
116,På biblioteket kan du låne bøker gratis.,At the library you can borrow books for free.
117,Der har de bøker både på norsk og på mange andre språk.,There they have books both in Norwegian and in many other languages.
118,Du kan også låne musikk og filmer på biblioteket.,You can also borrow music and movies at the library.
119,Bibliotekarene kan hjelpe deg med å finne det du vil ha.,Librarians can help you find what you want.
120,De kan for eksempel finne bøker og filmer med enkel norsk.,"For example, they can find books and movies with simple Norwegian."
121,NIKOS ER SERVITØR,Nikos is the waiter
122,Bianca skriver i Solvåg avis. ,Bianca writes in Solvåg Avis.
123,Nå vil hun intervjue Nikos. Hun treffer ham etter jobben.,Now she wants to interview Nikos.She meets him after work.
124,Fortell litt om deg selv. Hvorfor kom du hit?,Tell me about yourself.Why did you come here?
125,I Hellas jobbet jeg i en bank. ,In Greece I worked in a bank.
126,"Men landet fikk økonomiske problemer, og jeg mistet jobben.","But the country had financial problems, and I lost my job."
127,Etterpå jobbet jeg en stund i en bar. ,Afterwards I worked for a while in a bar.
128,"Men baren gikk konkurs, og da ble jeg arbeidsledig.","But the bar went bankrupt, and then I became unemployed."
129,Og så flyttet du til Norge?,And then did you move to Norway?
130,"Ja. En venn av meg har en gresk restaurant her,","Yes.A friend of mine has a Greek restaurant here,"
131,og jeg fikk jobb hos ham.,And I got a job with him.
132,Når kom du hit?,When did you arrive here?
133,For nesten to år siden. ,Almost two years ago.
134,Denne jobben på Solvåg fikk jeg for noen måneder siden.,I got this job at Solvåg a few months ago.
135,Hva gjør du her på hotellet?,What are you doing here at the hotel?
136,Jeg er servitør.,I'm a waiter.
137,"Jeg serverer frokost, og jeg rydder og vasker bordene i restauranten.",I serve breakfast and I clean and wash the tables in the restaurant.
138,Jobber du heltid?,Do you work full time?
139,"Nei, jeg jobber deltid. ","No, I work part -time."
140,Jeg jobber ca. 20 timer i uka.,I work approx.20 hours a week.
141,Noen ganger jobber jeg ekstra og serverer lunsj eller middag. ,Sometimes I work extra and serve lunch or dinner.
142,Jeg jobber også litt i baren.,I also work a little at the bar.
143,Hvorfor jobber du deltid?,Why do you work part -time?
144,Jeg er student også. ,I'm a student too.
145,Jeg studerer økonomi.,I study finances.
146,Liker du det?,Do you like it?
147,"Ja, det er interessant. Men det er mye å lære. ","Yes, it's interesting.But there is a lot to learn."
148,"Bøkene er på norsk og engelsk, og det er ikke alltid lett. ","The books are in Norwegian and English, and it is not always easy."
149,"Jeg forstår ikke alt, og jeg må lese bøkene mange ganger.","I don't understand everything, and I have to read the books many times."
150,Men du snakker veldig bra. Hvordan lærte du norsk?,But you talk very well.How did you learn Norwegian?
151,"Jeg gikk på norskkurs, og jeg prøver å prate mye norsk.","I went to Norwegian courses, and I try to talk a lot of Norwegian."
152,Hvordan blir du kjent med nordmenn?,How do you get to know Norwegians?
153,Jeg fikk et godt tips av en venn. ,I got a good tip from a friend.
154,Han sa: «Det er massevis av klubber og organisasjoner i Norge.,He said: “There are lots of clubs and organizations in Norway.
155,Der kan du treffe folk med samme interesser som deg.» ,There you can meet people with the same interests as you. ”
156,"Jeg kontaktet Røde Kors, og der traff jeg mange hyggelige mennesker. ","I contacted the Red Cross, and there I met many nice people."
157,Nå jobber jeg frivillig på et eldresenter noen timer i uka. ,Now I volunteer at an elderly center a few hours a week.
158,Jeg går på tur med to eldre menn.,I go for a walk with two older men.
159,Noen ganger tar jeg dem med på fotballkamp eller på kino. ,Sometimes I take them to a football match or to the cinema.
160,Vi prater mye sammen.,We talk a lot together.
161,Så bra. Lykke til! Både med jobben og studiene.,So good.Good luck!Both with the job and the studies.
162,Takk skal du ha.,Thank you.
